funzione	header	riga	deprecated	firma
ZwCamCroundFeatDataGet	zwapi_cm_ftr.h	714		ZW_API_C ezwErrors ZwCamCroundFeatDataGet(int feat_idx, szwCamFtrCroundAttr *crndAttr);
ZwCamCroundFeatDataSet	zwapi_cm_ftr.h	734		ZW_API_C ezwErrors ZwCamCroundFeatDataSet(int feat_idx, const szwCamFtrCroundAttr *crndAttr);
ZwCamFolderCreate	zwapi_cm_folder.h	190		ZW_API_C ezwErrors ZwCamFolderCreate(const char *name, int parentIdx, int prevIdx, int *folderIdx);
ZwCamFolderNameGet	zwapi_cm_folder.h	231		ZW_API_C ezwErrors ZwCamFolderNameGet(int folderIdx, char *name, int size);
ZwCamFolderNameSet	zwapi_cm_folder.h	209		ZW_API_C ezwErrors ZwCamFolderNameSet(int folderIdx, const char *name);
ZwCamFtrElementListGet	zwapi_cm_ftr.h	570		ZW_API_C ezwErrors ZwCamFtrElementListGet(int feat_idx, int *elementCnt, int **elementIdxList);
ZwCamFtrGrpFeatListGet	zwapi_cm_ftr.h	544		ZW_API_C ezwErrors ZwCamFtrGrpFeatListGet(int idx_ftrgrp, int *featCnt, int **featIdxList);
ZwCamFtrGrpProfClassGet	zwapi_cm_ftr.h	851		ZW_API_C ezwErrors ZwCamFtrGrpProfClassGet(int ftrgrp_idx, ezwCamFtrProfileClass *profClass);
ZwCamFtrGrpProfClassSet	zwapi_cm_ftr.h	833		ZW_API_C ezwErrors ZwCamFtrGrpProfClassSet(int ftrgrp_idx, ezwCamFtrProfileClass profClass);
ZwCamHoleFeatDataGet	zwapi_cm_ftr.h	589		ZW_API_C ezwErrors ZwCamHoleFeatDataGet(int feat_idx, szwCamFtrHoleAttr *holeAttr);
ZwCamHoleFeatDataSet	zwapi_cm_ftr.h	612		ZW_API_C ezwErrors ZwCamHoleFeatDataSet(int feat_idx, const szwCamFtrHoleAttr *holeAttr);
ZwCamLicProductCheck	zwapi_cm_query.h	247		ZW_API_C ezwErrors ZwCamLicProductCheck(int product_index, int *check_flag);
ZwCamMachineIntGet	zwapi_cm_machine.h	286		ZW_API_C ezwErrors ZwCamMachineIntGet(int idx_mach, evxCmMachAttr param, int *value);
ZwCamMachineIntSet	zwapi_cm_machine.h	264		ZW_API_C ezwErrors ZwCamMachineIntSet(int idx_mach, evxCmMachAttr param, int value);
ZwCamMachineStrGet	zwapi_cm_machine.h	309		ZW_API_C ezwErrors ZwCamMachineStrGet(int idx_mach, evxCmMachAttr param, int strSize, char *str);
ZwCamMachineStrSet	zwapi_cm_machine.h	331		ZW_API_C ezwErrors ZwCamMachineStrSet(int idx_mach, evxCmMachAttr param, const char *str);
ZwCamOpDoubleGet	zwapi_cm_op_param.h	112		ZW_API_C ezwErrors ZwCamOpDoubleGet(int idx_Op, ezwCamOpParam param, double *value);
ZwCamOpDoubleSet	zwapi_cm_op_param.h	40		ZW_API_C ezwErrors ZwCamOpDoubleSet(int idx_Op, ezwCamOpParam param, double value);
ZwCamOpIntGet	zwapi_cm_op_param.h	130		ZW_API_C ezwErrors ZwCamOpIntGet(int idx_Op, ezwCamOpParam param, int *value);
ZwCamOpIntSet	zwapi_cm_op_param.h	58		ZW_API_C ezwErrors ZwCamOpIntSet(int idx_Op, ezwCamOpParam param, int value);
ZwCamOpObjGet	zwapi_cm_op_param.h	167		ZW_API_C ezwErrors ZwCamOpObjGet(int idx_Op, ezwCamOpParam param, void *obj_ptr);
ZwCamOpObjSet	zwapi_cm_op_param.h	94		ZW_API_C ezwErrors ZwCamOpObjSet(int idx_Op, ezwCamOpParam param, void *obj_ptr);
ZwCamOpSaveToXml	zwapi_cm_op.h	675		ZW_API_C ezwErrors ZwCamOpSaveToXml(int idx_op, const char *xmlPath);
ZwCamOpSetFolder	zwapi_cm_op.h	655		ZW_API_C ezwErrors ZwCamOpSetFolder(int idx_op, int idx_folder);
ZwCamOpStrGet	zwapi_cm_op_param.h	149		ZW_API_C ezwErrors ZwCamOpStrGet(int idx_Op, ezwCamOpParam param, char *str, int strSize);
ZwCamOpStrSet	zwapi_cm_op_param.h	76		ZW_API_C ezwErrors ZwCamOpStrSet(int idx_Op, ezwCamOpParam param, const char *str);
ZwCamProfElementDataGet	zwapi_cm_ftr.h	673		ZW_API_C ezwErrors ZwCamProfElementDataGet(int feat_idx, int element_idx, double *offset, double *draft, evxCmProfileTolLoc *tolloc);
ZwCamProfElementDataSet	zwapi_cm_ftr.h	695		ZW_API_C ezwErrors ZwCamProfElementDataSet(int prof_idx, int curve_idx, double newOffset, double newDraft, evxCmProfileTolLoc tolloc);
ZwCamProfFeatDataGet	zwapi_cm_ftr.h	631		ZW_API_C ezwErrors ZwCamProfFeatDataGet(int feat_idx, szwCamFtrProfileAttr *profAttr);
ZwCamProfFeatDataSet	zwapi_cm_ftr.h	651		ZW_API_C ezwErrors ZwCamProfFeatDataSet(int feat_idx, const szwCamFtrProfileAttr *profAttr);
ZwCamSlotFeatDataGet	zwapi_cm_ftr.h	754		ZW_API_C ezwErrors ZwCamSlotFeatDataGet(int feat_idx, szwCamFtrSlotAttr *slotAttr);
ZwCamSlotFeatDataSet	zwapi_cm_ftr.h	774		ZW_API_C ezwErrors ZwCamSlotFeatDataSet(int feat_idx, const szwCamFtrSlotAttr *slotAttr);
ZwCamToolExportAllToLibrary	zwapi_cm_tool.h	603		ZW_API_C ezwErrors ZwCamToolExportAllToLibrary(const vxLongPath library_path, const vxLongName file_name);
ZwCamToolInsertFromLibrary	zwapi_cm_tool.h	584		ZW_API_C ezwErrors ZwCamToolInsertFromLibrary(const vxLongPath library_path, const vxLongName file_name, const vxLongName tool_name, int *idx_tool);
ZwCamTreeRefresh	zwapi_cm_query.h	231		ZW_API_C ezwErrors ZwCamTreeRefresh(void);
ZwChildFeatureListGet	zwapi_feature_general.h	151		ZW_API_C ezwErrors ZwChildFeatureListGet(szwEntityHandle featureHandle, int *countChild, szwEntityHandle **childList);
ZwCommandCallbackLoad	zwapi_command.h	274		ZW_API_C ezwErrors ZwCommandCallbackLoad(const char *name, zwFunctionPointer callbackPointer);
ZwCommandFunctionLoad	zwapi_command.h	233		ZW_API_C ezwErrors ZwCommandFunctionLoad(const char *name, zwFunctionPointer functionPointer, ezwCommandLicenseType code);
ZwCommandFunctionUnload	zwapi_command.h	295		ZW_API_C ezwErrors ZwCommandFunctionUnload(const char *name);
ZwCommandLicenseCheck	zwapi_command.h	126		ZW_API_C ezwErrors ZwCommandLicenseCheck(const char *name);
ZwCommandMacroExecute	zwapi_command.h	416		ZW_API_C ezwErrors ZwCommandMacroExecute(ezwMacroType macroType, const char *input, char **outputMessage);
ZwCommandMacroPathGet	zwapi_command.h	448		ZW_API_C ezwErrors ZwCommandMacroPathGet(char *directory, int directorySize, char *fileName, int fileSize);
ZwCommandParameterDirectionSet	zwapi_template_command.h	85		ZW_API_C ezwErrors ZwCommandParameterDirectionSet(int idData, int idField, szwDirection direction);
ZwCommandParameterEntityAdd	zwapi_template_command.h	61		ZW_API_C ezwErrors ZwCommandParameterEntityAdd(int idData, int idField, int count, const szwEntityHandle *entityList);
ZwCommandPost	zwapi_command.h	56		ZW_API_C ezwErrors ZwCommandPost(const char *command, ezwCommandPostPriority priority);
ZwCommandPostExecuteAll	zwapi_command.h	69		ZW_API_C ezwErrors ZwCommandPostExecuteAll();
ZwCommandReactorSet	zwapi_command.h	167		ZW_API_C ezwErrors ZwCommandReactorSet(ezwCommandReactorType type, szwCommandReactorData data);
ZwCommandSend	zwapi_command.h	97		ZW_API_C ezwErrors ZwCommandSend(const char *command);
ZwCommandVariableLoad	zwapi_command.h	328		ZW_API_C ezwErrors ZwCommandVariableLoad(const char *name, zwFunctionPointer variablePointer);
ZwCommandVariableUnload	zwapi_command.h	348		ZW_API_C ezwErrors ZwCommandVariableUnload(const char *name);
ZwComponentActivate	zwapi_component.h	61		ZW_API_C ezwErrors ZwComponentActivate(szwEntityHandle newComponentHandle, int updateGUI, szwEntityHandle *oldComponentHandle);
ZwComponentConfigGet	zwapi_configtable.h	114		ZW_API_C ezwErrors ZwComponentConfigGet(szwEntityHandle componentHandle, szwEntityHandle *configHandle);
ZwComponentConfigListGet	zwapi_configtable.h	88		ZW_API_C ezwErrors ZwComponentConfigListGet(szwEntityHandle componentHandle, int *countConfig, szwEntityHandle **configList);
ZwComponentConfigSet	zwapi_configtable.h	137		ZW_API_C ezwErrors ZwComponentConfigSet(szwEntityHandle componentHandle, szwEntityHandle configHandle);
ZwComponentFileAndRootGet	zwapi_component.h	87		ZW_API_C ezwErrors ZwComponentFileAndRootGet(szwEntityHandle componentHandle, int nFileBytes, char *fileName, int nRootBytes, char *rootName);
ZwComponentFileLostCheck	zwapi_component.h	146		ZW_API_C ezwErrors ZwComponentFileLostCheck(szwEntityHandle componentHandle, int *isFileLost);
ZwComponentFileSaveAs	zwapi_component.h	555		ZW_API_C ezwErrors ZwComponentFileSaveAs(szwEntityHandle componentHandle, ezwComponentSaveAsOption option, const zwPath pathFile);
ZwComponentFileSet	zwapi_component.h	517		ZW_API_C ezwErrors ZwComponentFileSet(szwEntityHandle componentHandle, const zwPath file, const zwRootName root);
ZwComponentFixSet	zwapi_component.h	580		ZW_API_C ezwErrors ZwComponentFixSet(szwEntityHandle handle, int isFix);
ZwComponentFolderCreate	zwapi_component.h	709		ZW_API_C ezwErrors ZwComponentFolderCreate(int count, const szwEntityHandle *componentHandle, const zwString32 folderName, szwEntityHandle *folderHandle);
ZwComponentFolderDelete	zwapi_component.h	800		ZW_API_C ezwErrors ZwComponentFolderDelete(szwEntityHandle folderHandle, int deleteComponent);
ZwComponentFolderInsert	zwapi_component.h	731		ZW_API_C ezwErrors ZwComponentFolderInsert(szwEntityHandle componentHandle, szwEntityHandle folderHandle);
