comando	label_ribbon	form_dialogo	hint	descrizione
~CmOpsPop(9)	Insert Operation Folder		Insert Operation Folder	
~CmOutAdd	Add Operations		Add Operations	
~CmOutFldPop(1)	Insert NC Folder		Insert NC Folder	
~CmOutFldPop(10)	Output Tooling List		Output Tooling List	
~CmOutFldPop(11)	Output Operation List		Output Operation List	
~CmOutFldPop(12)	Toggle Expand/Collapse		Toggle Expand/Collapse	
~CmOutFldPop(14)	Duplicate		Duplicate	
~CmOutFldPop(2)	Insert NC		Insert NC	
~CmOutFldPop(3)	Output CL		Output CL	
~CmOutFldPop(4)	Output NC		Output NC	
~CmOutFldPop(5)	Output XML		Output XML	
~CmOutFldPop(6)	Output Shop Document		Output shop document	
~CmOutFldPop(7)	Rename		Rename	
~CmOutFldPop(8)	Delete		Delete	
~CmOutFldPop(9)	Setting		Setting	
~CmOutPop(1)	Output CL		Output CL	
~CmOutPop(11)	Duplicate		Duplicate	
~CmOutPop(12)			set custom cl command	
~CmOutPop(13)	Full Machine Simulation		Full Machine Simulation	
~CmOutPop(2)	Output NC		Output NC	
~CmOutPop(3)	Output XML		Output XML	
~CmOutPop(4)	Output Shop Document		Output shop document	
~CmOutPop(5)	Rename		Rename	
~CmOutPop(6)	Delete		Delete	
~CmOutPop(7)	Setting		Setting	
~CmOutPop(8)	Output Tooling List		Output Tooling List	
~CmOutPop(9)	Output Operation List		Output Operation List	
~CmOutRefOpPop(1)	Remove		Remove	
~CmOutRefOpPop(2)	Go To Operation		Go To Operation	
~CmOutRefOpPop(3)			set custom cl command	
~CmOutputPop(1)	Insert NC Folder		Insert NC Folder	
~CmOutputPop(2)	Insert NC		Insert NC	
~CmOutputPop(3)	Delete All		Delete All	
~CmOutputPop(4)	CL/NC Setting		CL/NC Output Setting	
~CmOutputPop(5)	Shop Document Setting		Shop document output setting	
~CmOutputPop(6)	Toggle Expand/Collapse		Toggle Expand/Collapse	
~CmOutputPop(7)	Output CL		Output CL	
~CmOutputPop(8)	Output NC		Output NC	
~CmOutputPop(9)	Custom CL Cmd		Custom CL Cmd	
~CmPaste	Paste		Paste	
~CmQmCacheClean	Clean QM Cache		Delete QuickMill cache (keep STL files)	ZW3D QuickMilling is a set of tool path operations that are based on internally calculated STL files. These are triangulated representations of your part geometry.
~CmQmDirClean	Clean QM Dir		Delete QuickMill cache (all files)	Removes all ZW3D QuickMilling cache files including the STL files. These files represent incremental steps in tool path creation.
~CmQmShowLog	Show QuickMill Log		Show QuickMill Log	
~CmQmShowVer	About QuickMill		About QuickMill	
~CmRSetPop(1)	Edit Tactic		Edit Tactic	
~CmRSetPop(2)	Delete Tactic		Delete Tactic	
~CmRSetPop(3)	Create/Calculate Operations		Create/Calculate Operations	
~CmRSetPop(4)	Rename Tactic		Rename Tactic	
~CmRSetPop(5)	Re-Calculate Operations		Re-Calculate Operations	
~CmRSetPop(6)	Spreadsheet Interface - Operation View		Spreadsheet Interface - Operation View	
~CmRSetPop(7)	Spreadsheet Interface - Feature View		Spreadsheet Interface - Feature View	
~CmRSetPop(8)	Create Operations		Create Operations	
~CmSetRegenTest	Setups		Check Setup dependencies for changes	
~CmSetupPop(1)	Activate		Activate	
~CmSetupPop(2)	Rename		Rename	
~CmSetupPop(3)	Delete		Delete	
~CmSetupPop(4)	Toggle Expand/Collapse		Toggle Expand/Collapse	
~CmSetupPop(5)	Settings		Settings	
~CmShadeComp(0)	Reset		Reset	
~CmShadeComp(1)	Wireframe		Wireframe	
~CmShadeComp(2)	Shade		Shade	
~CmShadeComp(3)	Hidden Line		Hidden line	
~CmShadeComp(4)	Analysis		Analysis	
~CmShadeComp(9)	Transparent		Transparent	
~CmStartVxPost	ZW3D Post		Post Process CL Data	
~CmSubToolPop(1)	Edit		Edit	
~CmSubToolPop(2)	Delete		Delete	
~CmSubToolPop(3)	Rename		Rename	
~CmTPRPop(1)	Verify		Verify	
~CmTPRPop(2)	Solid Verify		Solid Verify	
~CmTPRPop(3)	Output		Output	
~CmTPRPop(4)	Edit		Edit	
