comando	label_ribbon	form_dialogo	hint	descrizione
!AnimAddAppKfrm	Appearance	AnimAddAppKfrm	New an appearance keyframe	
!AnimAddMotor	Motor	AnimAddMotor	New a motor	
!AnimAddViewKfrm	Views and Cameras	AnimAddViewKfrm	New a view keyframe	Create a view-type keyframe by the standard views, custom views, or camera views, etc.
!AnimAlnKfrmCmd	Disable/Enable	AnimAlnKfrmCmd	Disable alignments	
!AnimBandAnal	Band Analysis		Band analysis	Select bodies to band analysis.
!AnimCompPos	Print Component Position	AnimCompPos	Select a component	
!AnimImportExp	Import Exploded Animation	AnimImportExp	Import exploded animation	
!AnimInferCrt	Interference		Interference	
!AnimInferList	Interference Information List		Interference information list	
!AnimNewAnimInst	New Animation	AnimNewAnimInst	New animation	
!AnimPosKfrmCmd	Position	AnimPosKfrmCmd	Create a position keyframe	
!AnimTrkCrt	Motion Track		Motion track	
!AsAlnAll	Common Constraint	AsAlnAll	Constrain components and shapes	Create an alignment constraint that associates two components or shells in the active part/assembly.
!AsAlnAll2	Common Constraint	AsAlnAll2	Constrain components and shapes	Create an alignment constraint that associates two components or shells in the active part/assembly.
!AsAlnDelete	Delete Constraint	AsAlnDelete	Unconstrain component or shape	Select the component and then the constraint to delete. You can middle-click to delete all constraints associated with the component.
!AsAlnDisable	Disable	AsAlnDisable	Disable alignments	
!AsAlnDrag	Drag	AsAlnDrag	Drag components	You can test the total freedom of a constraint system within a linkage-type assembly or to reposition a component after it is inserted but prior to placing any alignment constraints on it.
!AsAlnDrag2	Drag	AsAlnDrag2	Drag components	You can test the total freedom of a constraint system within a linkage-type assembly or to reposition a component after it is inserted but prior to placing any alignment constraints on it.
!AsAlnDragRot	Rotate	AsAlnDragRot	Rotate entities about point	Use this command to dynamically rotate the selected shell or component about the center of its bounding box. First select a component to rotate, Then move the cursor and watch as the component rotates freely about or along those axes that are not constrained.
!AsAlnDragRot2	Rotate	AsAlnDragRot2	Rotate entities about point	Use this command to dynamically rotate the selected shell or component about the center of its bounding box. First select a component to rotate, Then move the cursor and watch as the component rotates freely about or along those axes that are not constrained.
!AsAlnEnable	Enable	AsAlnEnable	Enable alignments	
!AsAlnFix	Fix	AsAlnFix	Toggle Fix/Unfix component or shape position	The component is fixed in its current position and will not move when the constraint system is solved. Select the component to fix.  If the component is already fixed, this command will remove the fix.
!AsAlnHandle	Assem Handle	AsAlnHandle	Define assembly constraint handle	
!AsAlnRedefine2	Redefine Constraint	AsAlnRedefine2	Constrain components and shapes	Create an alignment constraint that associates two components or shells in the active part/assembly.
!AsAlnSolve	Solve	AsAlnSolve	Solve alignment constraints	Simultaneously solve the system of constraints.
!AsAlnUseHan	Align Component with Handles	AsAlnUseHan	Constrain components and shapes	Create an alignment constraint that associates two components or shells in the active part/assembly.
!AsEditAlign	Edit Constraint	AsEditAlign	Edit component constraints	An options form similar to the Constrain Components command is displayed listing its constraints.
!AsEditAlign2	Edit Constraint	AsEditAlign2	Edit component constraints	An options form similar to the Constrain Components command is displayed listing its constraints.
!AsMcmPulley	Pulley	AsMcmPulley	Add a pulley	
!AsMechAlnAll	Mechanical Constraint	AsMechAlnAll	Constrain components and shapes	Create an mechanical constraint.
!AsMechAlnRedef	Mechanical Constraint	AsMechAlnRedef	Constrain components and shapes	Create an mechanical constraint.
!AsUnivAlign	Edit Constraint	AsUnivAlign	Create/Edit/Delete component constraints	An options form similar to the constrain components command is displayed listing its constraints.
!AsmAltComAct	Activate Alternate	AsmAltComAct	Activate an alternate component	Once activated, the alternate takes the original component&apos;s place in the assembly.
!AsmAltComAdd	Add Alternate	AsmAltComAdd	Add an alternate component	Assign an alternate to a component. Once assigned, use the Activate Alternate Component cmmand to activate it. The active alternate will be displayed until the original component is reactivated.
!AsmAltComDel	Delete Alternate	AsmAltComDel	Delete an alternate component	Delete an alternate assigned to a component. The alternate object itself is not deleted only its assignment as an alternate to the component.
!AsmAltComInq	Inquire Alternates	AsmAltComInq	Show alternate component table	List all alternates that have been assigned to a component. You can select the component directly or select the name of the component from the History Manager.
!AsmAnimAct	Edit Animation	AsmAnimAct	Edit animation	
!AsmAnimDel	Delete Animation	AsmAnimDel	Delete animation	
!AsmAnimInq	Inquire Animation	AsmAnimInq	Inquire animation	
!AsmComRepAct	Activate Config	AsmComRepAct	Activate a component configuration	Once activated, each component in the assembly is checked to see if it has an alternate component of the same name. If so, that alternate component is displayed.
!AsmComRepAdd	Define Config	AsmComRepAdd	Add name for component configuration	Add a new configuration name to the recorded list of configurations for a component.
!AsmComRepAuto	Record Config	AsmComRepAuto	Record the configuration of the current assembly	Create a component configuration from the active part. Each component in the assembly is checked to see if an alternate component is active. If so, the same alternate component is referenced again by the name of this configuration.
!AsmComRepDel	Delete Config	AsmComRepDel	Delete assembly configuration	Delete the component configuration. No actual component or geometry is deleted, only the configuration assignment.
!AsmComRepExp	Exploded Config	AsmComRepExp	Create exploded assembly configuration	The explosion is for visual purposes only and does not modify the actual location of each component within the assembly.
!AsmComRepInq	Inquire Config	AsmComRepInq	Show component configuration table	List all configurations assigned to the active assembly.
!AsmExpAddStep	Add Exploded Step	AsmExpAddStep	Add an explode step.	Add an explode step.
!AsmExpAddTrail	Add Exploded Trail	AsmExpAddTrail	Add an explode trail.	Add an explode trail.
!AsmExpAutoTrail	Auto Exploded Trail	AsmExpAutoTrail	Add explode trail automatically.	Add explode trail automatically.
!AsmExpConfig	Exploded Config	AsmComRepExp	Create exploded assembly configuration	The explosion is for visual purposes only and does not modify the actual location of each component within the assembly.
!AsmExpReuse	Reuse Exploded View	AsmExpReuse	Reuse exist exploded view.	Reuse exist exploded view.
!AsmExpViewAuto	Auto Explode	AsmExpViewAuto	Explode all the components automatically	Explode all the components automatically
!AsmExpViewEnter	Exploded View	AsmExpViewEnter	Activate an existing exploded view or create a new one	If an existing exploded view is selected, it will be activated. But a new one will be created if it is not existed.
!AsmFlexDesign			Flexible design	
!AsmMirrorAll	Mirror	AsmMirrorAll	Mirror a component	Mirror a component. Move or Copy.
!AsmPtnAll	Pattern	AsmPtnAll	Pattern array	Pattern components. Various methods are supported including linear, circular, point to point, at pattern, at curves and at face.
!AsmSwitchExp	Exploded View Video	AsmSwitchExp	Exploded View Video	switch to another view, and save the animation in avi
!Cd3DDimPrjDwg	Inherit Dimensions from Part	Cd3DDimPrjDwg	Inherit dimensions from part or not	
!CdAllCopy	Copy	CdAllCopy	Copy entity	Copy 3D part entities. Various methods are supported including directions, points and frames (i.e., datum planes or planar faces).
!CdAllMove	Move	CdAllMove	Move entity	Move 3D part entities. Various methods are supported including directions, points and frames (i.e., datum planes or planar faces).
!CdAnalyzeComp	Analysis	CdAnalyzeComp	Analyze component display	
!CdAnchorPoint	Anchor Point	CdAnchorPoint	Create an anchor	
!CdAng1ln	Measure 1 Line	CdAng1ln	Angle between a direction and x-axis	
!CdAngArc	Measure Arc	CdAngArc	Angle subtended by an arc	
!CdAngFace	Measure Face Dihedral	CdAngFace	Angle by face dihedral	
!CdAnimCamDef	Camera Position	CdAnimCamDef	Define Camera	Location, location of the camera for the active keyframe only. Look at, a point that along with the location point defines a vector (i.e., direction) that the camera is pointing, but the camera can still twist about that vector. This is for the active keyframe only.
!CdAnimDel	Erase	CdAnimDel	Erase entities	Erase historically-generated entities.Select part entities and middle-click to erase them.
!CdAnimKeyAdd	Key Frame	CdAnimKeyAdd	Add Key Frame	It used to set the current time of the animation. It defines a time in the animation when Animation Parameters are given explicit values.
!CdAnimMotTrk	Motion Track	CdAnimMotTrk	Create motion track	
!CdAnimMotor	Add Motor	CdAnimMotor	Apply a motor power	
!CdAnimNew	New Animation	CdAnimNew	Create new animation	From the Required Input section of the command options tab, enter the Total animation time.  You can optional specify a name for the animation.
!CdAnimParamAdd	Parameter	CdAnimParamAdd	Add Animation Parameter	Using the Add Parameter icon will display all of the editable parameters in the assembly.Note that adding a parameter will automatically create a keyframe at the current animation time if one does not exist.
!CdAnimRecord	Record Animation	CdAnimRecord	Record animation to AVI	
!CdAnlyzSctDat	Surface Fit	CdAnlyzSctDat	Analyze point cloud data surface fit	Analyze the distance between individual points in a point block and a given surface that was fitted through the point block.  The ratio of a given point distance to the surface and the user specified max. distance range value determines the color of a point.
!CdAnntTblCrt	Annotation	CdAnntTblCrt	Create an annotation table	
!CdArcType	Toggle Arc	CdArcType	Toggle arc type	Toggle the curve type between a normal and a designer arc.
!CdAsmMove	Move	CdAsmMove	Move components	Move components. Various methods are supported including directions, points and frames (i.e., datum planes or planar faces).
!CdAsmMoveChld	Move	CdAsmMoveChld	Move component	
!CdAssoFtrBrk	Break Associative Import		Break the Associative Import feature.	
!CdAssoFtrUpd	Update		Update the data of the associative imported file.	
!CdAtDel	Delete...	CdAtDel	Delete entity attributes	Delete custom line attributes including color, style, and line width. Delete custom surface attributes.
!CdAtMod	Edit...	CdAtMod	Edit entity attributes	Define and apply line attributes including color, style, and line width. Attributes defined in the form can also be toggled and saved as attribute bundles.
!CdAtMod2D	Edit...	CdAtMod2D	Edit entity attributes	Edit the attributes for selected entities such as lines, text, constraint symbols, faces. etc.
!CdAtModBlk	Attributes	CdAtModBlk	Edit block entity attributes	
!CdAtPainter	Format Painter	CdAtPainter	Format painter	Copy attributes of an entity to some other entities.
!CdAttrFomatSel	Select Entity	CdAttrFomatSel	Select Entity	
!CdAutoBalloon	Auto Balloon	CdAutoBalloon	Create balloons on a drawing view automatically.	
!CdAutoResized	Automatically Resized	CdAutoResized	Automatically Resized	
!CdAuxFrameSet	CSYS	CdAuxFrameSet	CSYS	
!CdAuxFtrShare	Make External		Make sketch external.	Make sketch external.
!CdAuxFtrUnshare	Make Internal		Make sketch internal.	Make sketch internal.
!CdAxis	Datum Axis	CdAxis	Datum axis	Insert a new datum axis, which is used to establish a direction of reference.
!CdAxis2	Datum Axis	CdAxis2	Datum axis	Insert a new datum axis, which is used to establish a direction of reference.
!CdAxisAll	Datum Axis	CdAxisAll	Datum axis	Insert a new datum axis, which is used to establish a direction of reference.
!CdAxisType	Toggle External/Internal	CdAxisType	Toggle external/internal	Change internal 2D axis to and from external 2D axis.
!CdBalloonFtr	Text Balloon	CdBalloonFtr	Add text in a balloon	This command creates a part annotation text or image balloon at a selected point.
!CdBatchAttrSel	Select Entities	CdBatchAttrSel	Select Entities	
!CdBevelGear	Bevel Gear	CdBevelGear	Create bevel gear	Create bevel gear by specified parameters.
!CdBiarc3D	Convert to Arcs/Lines	CdBiarc3D	Convert curve(s) to arcs and lines	The segments will be connected end to end. At the sketch and drawing sheet levels, you can optionally specify tangency at end points, creating a more exact representations of the original curve.
!CdBlank3DPrf	Blank	CdBlank3DPrf	Blank entities	
!CdBlankDwg	Blank	CdBlankDwg	Blank entities	
!CdBlankPart	Blank	CdBlankPart	Blank entities	
!CdBlend2CrvsII	Blend	CdBlend2CrvsII	Place a blend curve between two boundary curves	Create a curve blend between two curves, lines, arcs or face edges.  Optional inputs include tangent and curvature matching, trim methods, keep side methods and curvature weight.
!CdBlend2CrvsII3	Blend	CdBlend2CrvsII3	Place a 3D blend curve between two boundary curves	Create a curve blend between two curves, lines, arcs or face edges. Select two curves or face edges near the ends to be blended.  At the Part level, select two 3D curves.  The curve blend will echo as the second curve is highlighted.
!CdBlk2DInsRSk	Custom Ready Sketch	CdBlk2DInsRSk	Custom Ready Sketch	
!CdBlk2DInsRpt	Insert block	CdBlk2DInsRpt	Insert block	
!CdBlkAtSupp	Override color attributes		Override attributes	
!CdBlkDispCns	Display inner constraints		Display the constraints in it or not	
!CdBlock2DAddEnt	Add Entity To Block	CdBlock2DAddEnt	Add Entity To Block	
!CdBlock2DCrt	Make Block	CdBlock2DCrt	Create a block	
!CdBlock2DDelAll	Erase Block and Instances		Erase the sketch block and its all references	
!CdBlock2DInst	Insert Block	CdBlock2DInst	Insert block	
!CdBlock2DRSkth	Save to Ready sketch		Save to Ready sketch	
!CdBlock2DRename	Rename		Rename a block	
!CdBlock2DRigid	Change to Rigid Block	CdBlock2DRigid	Change slecte block to rigid block	
!CdBlock2DUnlink	Unlink		Unlink block	
!CdBlock2DUpd	Regen	CdBlock2DUpd	Regen block	
!CdBlockAddTri	Add Triangle	CdBlockAddTri	Add a new triangle.	Pick three vertice to create a new triangle.
!CdBlockDelFace	Delete Face	CdBlockDelFace	Delete a face or faces from block.	Pick a face or faces from block to delete.
!CdBlockDivEdge	Split Edge	CdBlockDivEdge	Split an edge on the mesh.	Pick an edge from the mesh to split.
!CdBlockDivMesh	Divide Mesh	CdBlockDivMesh	Separate one or more triangles from the mesh.	Pick one or more triangles to divide the mesh.
!CdBlockFillHole	Fill Hole	CdBlockFillHole	Fill a hole of block.	Pick an edge of a hole to fill.
!CdBlockFlipEdge	Flip Edge	CdBlockFlipEdge	Flip an edge from block.	Pick an edge from block to flip.
!CdBlockFlipFace	Flip Triangle	CdBlockFlipFace	Flip a region of triangles on the mesh.	Pick a seed triangle from the mesh to flip.
!CdBlockRmBox	Remove Box	CdBlockRmBox	Remove points from point blocks	The points are "picked" by enclosing them with a series of resizable box volumes.  An optional input is available to delete the selected points (i.e., trim the point block). Otherwise the selected points are retained as separate point blocks.
!CdBlockRmPLPts	Remove Polyline	CdBlockRmPLPts	Remove points from point blocks via poly-line pick	The points are "picked" by drawing a poly-line around the desired points. An optional input is available to delete the selected points (i.e., trim the point block).  Otherwise the selected points are retained as a separate point block.
!CdBlockRmPts	Remove Sphere	CdBlockRmPts	Remove points from point blocks	The points are "picked" by enclosing them with a series of resizable spherical volumes.  An optional input is available to delete the selected points (i.e., trim the point block). Otherwise the selected points are retained as separate point blocks.
!CdBomTblCrt	BOM	CdBomTblCrt	Create a table from view object	Create a BOM table from a layout view including detail and section views. First select the view and then enter a name.
!CdBrkLnAtEntSet	Break Line Attribute	CdBrkLnAtEntSet	Modify the  attribute of the break line	Modify the  attribute of the break line.
!CdBrkLnSetGap	Break Line Gap	CdBrkLnSetGap	Modify the break line gap	Modify the gap size of the break line.
!CdBrkStyl0	Zero Zig Zag	CdBrkStyl0	Modify the break line style	Modify the break line style.
!CdBrkStyl1	One Zig Zag	CdBrkStyl1	Modify the break line style	Modify the break line style.
!CdBrkStyl2	Two Zig Zag	CdBrkStyl2	Modify the break line style	Modify the break line style.
!CdBrkStyl3	Curve	CdBrkStyl3	Modify the break line style	Modify the break line style.
!CdBrkTran	Transform into new	CdBrkTran	Transform the old break line view to new	Transform the old break line view to new.
!CdC2Auto	Auto Constrain	CdC2Auto	Automatically add constraints	Use this command to analyze the current sketch geometry and add constraints and dimensions automatically.
!CdC2Drag	Drag	CdC2Drag	Drag components	Use this command to drag geometry from one point to another, while modifying only the constraints and dimensions needed.
!CdC2ShowCns	Show Constraints	CdC2ShowCns	Show constraints on entities	
!CdC3Drag	Drag	CdC3Drag	Drag entity	Drag 3D sketch entities. Various methods are supported including directions, points and frames (i.e., datum planes or planar faces).
!CdCSYS	Datum CSYS	CdCSYS	Datum CSYS	Insert a new datum coordinate system.
!CdCSYSAll	Datum CSYS	CdCSYSAll	Datum CSYS	Insert a new datum coordinate system.
!CdCgCapture	Capture	CdCgCapture	Save the current display	Use this command to capture the active display to a file.  It automatically turns off the view extents readout, the world axis triad and the default datum display.  You can save to bmp, gif, jpg, and tif graphics file formats.
!CdCgRender	Rendering	CdCgRender	Render the active view	ZW3D supports the Pov-Ray freeware advanced rendering engine to create realistic rendered scenes.
!CdChamfer	Chamfer	CdChamfer	Place a chamfer between two boundary curves	First select the two curves (C1)(C2) near their ends to chamfer. Then specify the setback (S) along the first curve and the angle (A).
!CdCheckCorners	Check Corners	CdCheckCorners	Check mismatched errors in corners.	Check mismatched errors in corners for healing.
!CdChmCvChn	Chamfer Chain	CdChmCvChn	Chamfer a chain of curves	Create chamfers of equal setback around a chain of curves.There will be a chamfer between each adjacent curve in the chain. First select the chain of curves to chamfer and then specify the setback.
!CdChnAdd2d	Attach "Start" Tag to Curve	CdChnAdd2d	Tag the start of a curve or chain of curves	
!CdChnDel2d	Delete "Start" Tag	CdChnDel2d	Delete "starting point" tag	
!CdCldSrfPtFile	Surface from File	CdCldSrfPtFile	Create an untrimmed face fitting points from a file	Create an untrimmed face that passes through a set of points (referred to as a point cloud) read from a point file. The only required input is the point file.
!CdCleanupBln	Clean-Up Balloon	CdCleanupBln	Cleanup Balloons of a View	Use this command to clean-up the balloon locations associated with a layout view.
!CdCleanupDim	Clean-Up Dimension Locations	CdCleanupDim	Cleanup H/V Dimensions of a View	Use this command to clean up the locations of horizontal, vertical and aligned dimensions of a layout view if they lie on an axis.
!CdClearBln	Clear BOM Balloons	CdClearBln	Delete all of the BOM balloon labels on a drawing view.	
!CdClearFacets	Clear Facets	CdClearFacets	Clear facet data from active part	Deleting the facet data from a part before saving will reduce the file size. If the part is currently in shaded mode, it will be changed to wireframe mode upon completion.
!CdClipCopy	Copy	CdClipCopy	Copy to clipboard	
!CdClipCopy3	Copy	CdClipCopy3	Copy to clipboard	
!CdClipCut	Cut	CdClipCut	Cut to clipboard	
!CdClipCut3	Cut	CdClipCut3	Cut to clipboard	
!CdClipPaste	Paste	CdClipPaste	Paste	
!CdClipPaste3	Paste	CdClipPaste3	Paste	
!CdCllctTsltNds	Collect Nodes	CdCllctTsltNds	Collect nodes enclosed by boundary curves from tessellated data	Select a tessellated point or STL block (B). This block is the result of the Tessellate Scattered Data command. Then select the boundary curves (C) that enclose the nodes that you wish to collect and a point specifying the side of the boundary curves that you wish to collect the nodes from.
!CdClrChk	Clearance Check	CdClrChk	Perform clearance check	Check for clearance between components or the assembly. Blanked and suppressed components in an assembly will be ignored during these calculations.
!CdCnsAll	Add Constraints	CdCnsAll	Add constraints	
!CdCnsAll3DPrf	Add Constraints	CdCnsAll3DPrf	Add constraints	
!CdCnsAlnHor	Points Horizontal	CdCnsAlnHor	Constrain points horizontally (aligned in y)	Create a point (P2) horizontal constraint and attach it to a point(s) so that it remains horizontal to the Y value of a base point (P1).
!CdCnsAlnPlnX3D	Along Plane X	CdCnsAlnPlnX3D	Constrain lines to be along plane X-axis	Create an constraint and attach it to a plane so that it is along the X-axis of the plane.
!CdCnsAlnPlnY3D	Along Plane Y	CdCnsAlnPlnY3D	Constrain lines to be along plane Y-axis	Create an constraint and attach it to a plane so that it is along the Y-axis of the plane.
!CdCnsAlnVer	Points Vertical	CdCnsAlnVer	Constrain points vertically (aligned in x)	Create a point (P2) vertical constraint and attach it to a point(s) so that it remains vertical to the X value of a base point  (P2) .
!CdCnsAlnX3DPrf	Along X	CdCnsAlnX3DPrf	Constrain a line along X axis	Create a line along X axis
!CdCnsAlnY3DPrf	Along Y	CdCnsAlnY3DPrf	Constrain a line along Y axis	Constrain a line along Y axis
!CdCnsAlnZ3DPrf	Along Z	CdCnsAlnZ3DPrf	Constrain a line along Z axis	Constrain a line along Z axis
!CdCnsCoin	Point Coincident	CdCnsCoin	Constrain a point to another point	
!CdCnsCoin3DPrf	Point Coincident	CdCnsCoin3DPrf	Constrain a point to another point	
!CdCnsColin	Point to Line	CdCnsColin	Constrain points to be collinear	Create a point (P) to line constraint and attach it to one or more points so that they remain co-linear with a base line (L).
!CdCnsCollin3D	Collinear	CdCnsCollin3D	Constrain lines to be collinear	
!CdCnsCollinear	Collinear	CdCnsCollinear	Constrain lines to be collinear	
!CdCnsConc	Point to Center	CdCnsConc	Constrain a point to the center of an arc or circle	Create a concentric constraint and attach it to one or more points (P) so that they remain concentric to a base arc or circle (C).
!CdCnsConc3DPrf	Point to Center	CdCnsConc3DPrf	Constrain a point to the center of an arc or circle	Create a concentric constraint and attach it to one or more points (P) so that they remain concentric to a base arc or circle (C).
!CdCnsEqlCrvatr	Equal Curvature	CdCnsEqlCrvatr	Constrain curvature to be equal	Create an equal curvature constraint and attach it to an entity (L2) so that it remains an equal curvature from another entity (L1).
!CdCnsEqlLen	Equal Length	CdCnsEqlLen	Constrain distances to be equal	Create an equal distance constraint and attach it to an entity (L2) so that it remains an equal distance from another entity (L1).
!CdCnsEqlLen3D	Equal Length	CdCnsEqlLen3D	Constrain distances to be equal	Create an equal distance constraint and attach it to an entity (L2) so that it remains an equal distance from another entity (L1).
!CdCnsEqlRad	Equal Radius	CdCnsEqlRad	Constrain radius to be equal	Create an equal radius constraint and attach it to an entity (L2) so that it remains an equal radius from another entity (L1).
!CdCnsEqlRad3D	Equal Radius	CdCnsEqlRad3D	Constrain radius to be equal	Create an equal radius constraint and attach it to an entity (L2) so that it remains an equal distance from another entity (L1).
!CdCnsFixXY	Fix	CdCnsFixXY	Constrain a point to be fixed in x and/or y	Create an anchor constraint and attach it to a point so that it remains anchored at its current Xand Y location.
!CdCnsFixXY3DPrf	Fix	CdCnsFixXY3DPrf	Constrain a point to be fixed in x and/or y	Create an anchor constraint and attach it to a point so that it remains anchored at its current Xand Y location.
!CdCnsHor	Horizontal	CdCnsHor	Constrain a line horizontal	Create a horizontal constraint and attach it to one or more lines so that they remain horizontal.
!CdCnsIsect	Point to Intersection	CdCnsIsect	Constrain point at intersection of two curves	Create a point to intersection constraint and attach it to one or more points so that they remain at the intersection of two base curves.
!CdCnsIsect3DPrf	Point to Intersection	CdCnsIsect3DPrf	Constrain point at intersection of two curves	Create a point to intersection constraint and attach it to one or more points so that they remain at the intersection of two base curves.
!CdCnsMid3DPrf	Point to Midpoint	CdCnsMid3DPrf	Constrain point to be a midpoint.	Constrain a point to be located at the midpoint of a line.
!CdCnsMidXY	Point to Midpoint	CdCnsMidXY	Constrain point to be a midpoint (x and/or y)	Constrain a point to be located at the midpoint between two selected points.
!CdCnsOnCrv	Point to Line/Curve	CdCnsOnCrv	Constrain points to be on curve	Create a point (P) on curve constraint and attach it to one or more points so that they remain on a base curve (C).
!CdCnsOnCrv3DPrf	Point to Line/Curve	CdCnsOnCrv3DPrf	Constrain points to be on curve	Create a point (P) on curve constraint and attach it to one or more points so that they remain on a base curve (C).
!CdCnsOnPln3DPrf	On Plane	CdCnsOnPln3DPrf	Constrain entities to be on plane	Create an on plane constraint.
!CdCnsPara	Parallel	CdCnsPara	Constrain lines to be parallel	Select a base line (L1) and then select the line (L2) to constrain parallel to it.
!CdCnsPara3DPrf	Parallel	CdCnsPara3DPrf	Constrain lines to be parallel	Select a base line (L1) and then select the line (L2) to constrain parallel to it.
!CdCnsPerp	Perpendicular	CdCnsPerp	Constrain curves to be perpendicular	Select a base line (L1) and then select the line/curve (L2) to constrain perpendicular to it.
!CdCnsPerp3DPrf	Perpendicular	CdCnsPerp3DPrf	Constrain curves to be perpendicular	Select a base line (L1) and then select the line/curve (L2) to constrain perpendicular to it.
!CdCnsSym	Symmetrical	CdCnsSym	Constrain points/arcs/circles/lines symmetrical about a line	Create a symmetrical constraint and attach it to pairs of points/arcs/circles/lines to locate them symmetrically about a base line. Click arrow to flip the constraint direction.
!CdCnsSym3DPrf	Symmetric	CdCnsSym3DPrf	Constrain two entities to be symmetric with a plane	Set two specified points or curves to be symmetric with a plane. The curves should not be ellipses, evaluated curves or any parametric surfaces(such as spline surfaces,sweeps,spins,etc.)
!CdCnsSymPart	Partially Symmetrical	CdCnsSymPart	Constrain arcs/circles/lines symmetrical about a line	Create a symmetrical constraint and attach it to pairs of arcs/circles/lines to locate them symmetrically about a base line. Click arrow to flip the constraint direction.
!CdCnsTang	Tangent	CdCnsTang	Constrain two curves to be tangent	Create a tangent constraint and attach it to two lines, arcs, circles, or curves so that they remain tangent.
!CdCnsTang3DPrf	Tangent	CdCnsTang3DPrf	Constrain two curves to be tangent	Create a tangent constraint and attach it to two lines, arcs, circles, or curves so that they remain tangent.
!CdCnsVer	Vertical	CdCnsVer	Constrain a line vertical	Create a vertical constraint and attach it to one or more lines so that they remain vertical.
!CdComment	Comment	CdComment	Insert comment in part history	
!CdCompEdit	Edit Part	CdCompEdit	Edit Part	
!CdCompExtract	Extract Shape	CdCompExtract	Extract merged shapes to parent components	This command can be thought of as an alternate method of Assembly Design where you build all the shapes for an assembly in one part, then extract them out to separate components for CAM and 2D detailing.
!CdCompFlex	Flexible	CdCompFlex	Set component flexible	
!CdCompLink	Link Shape	CdCompLink	Link shape to component	Linking shapes to components allows the components to be updated with the shape geometry on demand.
!CdCompSetPart	Change	CdCompSetPart	Set component part	Change the part that component instances in the active assembly.
!CdCompSetRegen	Auto Regen	CdCompSetRegen	Enable/disable component regen	
!CdCompSupp	Suppress		Suppress a component	
!CdCompUnSupp	Unsuppress		Unsuppress a component	
!CdCompUnflex	Rigid	CdCompFlex	Set component rigid	
!CdCompUnlink	Unlink Shape	CdCompUnlink	Unlink shape from component	Unlink a shape from a component that was previous linked. By unlinking the shape from the component, the component will not be updated by the shape geometry.
!CdCompare	Compare Parts	CdCompare	Perform part compare	Compare two parts and show the differences between them. If they are miss-matched more than the default geometry tolerance, the component&apos;s faces will not be paired for the comparison.
!CdConfigAlign	Configure Constraint		Configure Object	
!CdConfigComponent	Configure Component		Configure object	
!CdConfigFeature	Configure Feature		Configure Object	
!CdConfigureDim	Configure Dimension		Configure Object	
!CdConfigureVar	Configure Variable		Configure Object	
!CdCopyWithCns	Copy with Constraints		Copy component with constraints	
!CdCosProfNew	Cosmetic Sketch	CdCosProfNew	Create new cosmetic sketch	
!CdCr3dEllp	Ellipse	CdCr3dEllp	Create 3D ellipse	Create an ellipse that lies on a planar face or datum plane.
!CdCr3dRect	Rectangle	CdCr3dRect	Create 3D rectangle	Create a rectangle that lies on a planar face or datum plane.
!CdCrArcCon	Concentric Arc	CdCrArcCon	Create concentric arc	Create an arc that is concentric to an existing arc, equal to its arc angle, and at a specified radius.
!CdCrTrace	Trace Profile	CdCrTrace	Create profile by tracing curves	It create a trace profile from existing sketch geometry.
!CdCreatePrtCfg	Create Config	CdCreatePrtCfg	Create Config	
!CdCrossSection	Cross Section	CdCrossSection	The cross intersection between an STL model with a plane.	Let a plane cross an STL model, then we can get the intersection curve.
!CdCrvIso	Iso-curve on Face	CdCrvIso	Curve along face isoline	Create iso-curves on a face (F) using a variety of methods.
!CdCrvIsocline	Isocline Curve	CdCrvIsocline	Isocline curves on faces	Create curves on faces with constant draft angle.
!CdCrvOnCrv	Combined Projection	CdCrvOnCrv	Combined curve projection	Create a curve through by extruding two curves along their given direction.
!CdCrvOnSf2	Curve on Face Thru Pts	CdCrvOnSf2	Curve through points on face	Create a curve through a series of points on a face. Both the points and the curve lie on the face.
!CdCrvParm	Param Space Partition	CdCrvParm	Show curve parameter space	Use this command to display the parameter space of a curve. Point markers at each point on a curve associate with a knot value are displayed along with the normalized parameter and arc length values at each point.
!CdCrvSpiral	Spiral Helix	CdCrvSpiral	Create spiral helix	Create a curve that spirals about an axis. A start point (P) and the axis (A) will define the diameter of the spiral. The number of turns and the total distance (S) to travel is also specified.
!CdCrvSpiral3D2	Spiral Helix	CdCrvSpiral3D2	Create spiral helix	Create a curve that spirals about an axis. A start point (P) and the axis (A) will define the diameter of the spiral. The number of turns and the total distance (S) to travel is also specified.
!CdCrvsMaxRad	Maximum Radius		To find the maximum radius in the sketch.	Find out the curve which maximum radius is largest in the specified curves or all of the curves in the sketch.
!CdCrvsMinRad	Minimum Radius		To find the minimum radius in the sketch.	Find out the curve which minimum radius is smallest in the specified curves or all of the curves in the sketch.
!CdCsHatAtEntSet	Attributes	CdCsHatAtEntSet	Edit hatch attributes	
!CdCsSk2DPrjSrf	Project to Face	CdCsSk2DPrjSrf	Project cosmetic sketch 2D onto faces	Project cosmetic sketch 2D onto faces and datum planes. By default, the sketch is projected normal to the faces or planes.
!CdCvAddCp	Add Control Point			
!CdCvAddCpBehind	Insert Control Point Behind			
!CdCvAddCpFront	Insert Control Point Previous			
!CdCvBndTrim	Trim/Split with Curve	CdCvBndTrim	Trim/split curves	Select the boundary Curves to split or trim to. Then select the curve Segments to delete, keep, or split.
