comando	label_ribbon	form_dialogo	hint	descrizione
ID_$NewObj=121	Root			
ID_$NewObj=200	Root			
ID_$NewObj=70	Root			
ID_$NewObj=89	Root			
ID_$NewObj=90	Drawing Packet			
ID_$SF=AsInqAlnStat	Assembly			
ID_$SF=CdStyleMgr	Tools			
ID_$SF=CmConfigUpdate	Tools			
ID_$SF=CmTaskScheduler	Tools			
ID_$SF=CmVxQmBatchMgr	3x Quick			
ID_$SF=HarnessExprMgrUi	Harness			
ID_$SF=Hrn3DBom	Harness			
ID_$SF=Hrn3DBomPrt	Harness			
ID_$SF=HrnAtRtMain	Harness			
ID_$SF=HrnColorDef	Harness			
ID_$SF=HrnSheathMtlAtt	Harness			
ID_$SF=HrnSheathMtlData	Harness			
ID_$SF=HrnWireMtlAtt	Harness			
ID_$SF=HrnWireMtlData	Harness			
ID_$SF=Ui3DBom	Assembly			
ID_$SF=UiAppMgr	Quick Primer			
ID_$SF=UiAutoDraft	Tools			
ID_$SF=UiBackgroundAt	Tools			
ID_$SF=UiBatchAttribute	Tools			
ID_$SF=UiBrBlock	Tools			
ID_$SF=UiCompareParts	Assembly			
ID_$SF=UiDmAt3D	Tools			
ID_$SF=UiDxFileConvert	Tools			
ID_$SF=UiInqFiles	Drawing Packet			
ID_$SF=UiLineAt	Tools			
ID_$SF=UiNotes	Tools			
ID_$SF=UiPMIDmAt	PMI			
ID_$SF=UiPartAt	Tools			
ID_$SF=UiPartTable	Assembly			
ID_$SF=UiPipBends	Piping			
ID_$SF=UiPipBomExport	Piping			
ID_$SF=UiPipISOGen	Piping			
ID_$SF=UiPipISOSetting	Piping			
ID_$SF=UiPipNesting	Piping			
ID_$SF=UiPipShtAutoDraft	Piping			
ID_$SF=UiPipSpecIndex	Piping			
ID_$SF=UiPointAt	Tools			
ID_$SF=UiShowOverlap	Inquire			
ID_$SF=UiTextAt	Tools			
ID_$SF=UiUpdName	Tools			
ID_$SF=WdWeldConvert	Weldments			
ID_$SF=ZwMGEdgeCtrMgr	Geometry and Mesh			
ID_$ZwFtSolverOption	ZWStructure			
ID_$ZwSolverOption	ZWStructure			
ID_$ZwStdFunction	ZWStructure			
ID_$ss	Tools			
ID_$vport=6	Visualize			
ID_ZwGTopoRegenVis	Geometry and Mesh			
ID_^nextView	Visualize			
ID_^prevView	Visualize			
ID_plm_cacheManage	ZWTeammate			
ID_plm_clone	ZWTeammate			
ID_plm_customCancelCheckout	ZWTeammate			
ID_plm_customCheckin	ZWTeammate			
ID_plm_customCheckout	ZWTeammate			
ID_plm_customRevise	ZWTeammate			
ID_plm_insert	ZWTeammate			
ID_plm_login	ZWTeammate			
ID_plm_logout	ZWTeammate			
ID_plm_newDoc	ZWTeammate			
ID_plm_newDocFromTmpl	ZWTeammate			
ID_plm_relatePart	ZWTeammate			
ID_plm_teamManage	ZWTeammate			
ID_plm_update	ZWTeammate			
ID_plm_workflowManage	ZWTeammate			
ID_~BrVarAll	Tools			
ID_~CdCopy	Tools			
ID_~CdCut	Tools			
ID_~CdDynSection	Inquire			
ID_~CdEditorFile	Tools			
ID_~CdElecPrj	Electrode			
ID_~CdEskdBom	Layout			
ID_~CdFileInsert	Dimension			
ID_~CdFontConv	Tools			
ID_~CdInstPipe	Piping			
ID_~CdMatlLibrary	Tools			
ID_~CdPMIResize	PMI			
ID_~CdPaste	Tools			
ID_~CdProfShowEqnMgr	Sketch			
ID_~CdRenameShow	Tools			
ID_~CdShowEqnMgr	Tools			
ID_~CdShowWdSegBom	Weldments			
ID_~CdStyleAnnoShow	Tools			
ID_~CdStyleDimShow	Tools			
ID_~CdStyleHatShow	Tools			
ID_~CdStyleLineShow	Tools			
ID_~CdStylePointShow	Tools			
ID_~CdStyleSymbsShow	Tools			
ID_~CdStyleTblShow	Tools			
ID_~CdStyleTextShow	Tools			
ID_~CdStyleViewShow	Tools			
ID_~CdUDFInsShow	Assembly			
ID_~CdUDFWizardShow	Assembly			
ID_~CmBrowserSolidVerify	Output			
ID_~CmBrowserTpathDivide	Tool Path Editor			
ID_~CmBrowserTpathTrim	Tool Path Editor			
ID_~CmBrowserTransformationMirror	Tool Path Editor			
ID_~CmBrowserTransformationMove	Tool Path Editor			
ID_~CmBrowserTransformationPattern	Tool Path Editor			
ID_~CmBrowserTransformationScale	Tool Path Editor			
ID_~CmBrowserVerify	Output			
ID_~CmEdAsm	CAD			
ID_~CmEditSk	Setup			
ID_~CmFramesPop(1)	Setup			
ID_~CmFtrOpt(1)	Setup			
ID_~CmFtrOpt(10)	Setup			
ID_~CmFtrOpt(12)	Setup			
ID_~CmFtrOpt(13)	Setup			
ID_~CmFtrOpt(2)	Setup			
ID_~CmFtrOpt(3)	Setup			
ID_~CmFtrOpt(4)	Setup			
ID_~CmFtrOpt(5)	Setup			
ID_~CmFtrOpt(6)	Setup			
ID_~CmFtrOpt(7)	Setup			
ID_~CmFtrOpt(8)	Setup			
ID_~CmFtrOpt(9)	Setup			
ID_~CmInpClipMgr	Tools			
ID_~CmInquirePop(0)	Inquire			
ID_~CmInquirePop(1)	Inquire			
ID_~CmInquirePop(2)	Inquire			
ID_~CmInquirePop(3)	Inquire			
ID_~CmInquirePop(4)	Inquire			
ID_~CmInquirePop(5)	Inquire			
ID_~CmLibExpObjFn	Tools			
ID_~CmLibImpObjFn	Tools			
ID_~CmNewSk	Setup			
ID_~CmOpPop(3)	Output			
ID_~CmOpPop(33)	Tool Path Editor			
ID_~CmOpPop(34)	Tool Path Editor			
ID_~CmOpPop(35)	Tool Path Editor			
ID_~CmOpPop(36)	Tool Path Editor			
ID_~CmOpPop(37)	Tool Path Editor			
ID_~CmOpPop(38)	Tool Path Editor			
ID_~CmOpsPop(15)	Output			
ID_~CmOpsPop(20)	Output			
ID_~CmQmCacheClean	3x Quick			
ID_~CmQmDirClean	3x Quick			
ID_~CmStartVxPost	Output			
ID_~CmStartZwPost	Output			
ID_~CreateFrame	Setup			
ID_~HrnPartCreate	Harness			
ID_~PipCreate	Piping			
ID_~PipShowParam	Piping			
ID_~PmAddStock	Setup			
ID_~PmClear2	Setup			
ID_~PmClearPop(11)	Setup			
ID_~PmCmAddPlane	Setup			
ID_~PmCmFtMirrorGeom	Setup			
ID_~PmCmFtPtnGeom	Setup			
ID_~PmCmPartDel	CAD			
ID_~PmCompPop(21)	Setup			
ID_~PmCopyEntity	Setup			
ID_~PmEntCoordMov	Setup			
ID_~PmFtrOpt(11)	Setup			
ID_~PmGeomPop(11)	Setup			
ID_~PmLCS	Setup			
ID_~PmMachShow	Setup			
ID_~PmMoveEntity	Setup			
ID_~PmOp(201)	2x Mill			
ID_~PmOp(202)	2x Mill			
ID_~PmOp(203)	2x Mill			
ID_~PmOp(204)	2x Mill			
ID_~PmOp(205)	2x Mill			
ID_~PmOp(206)	2x Mill			
ID_~PmOp(207)	2x Mill			
ID_~PmOp(208)	2x Mill			
ID_~PmOp(209)	2x Mill			
ID_~PmOp(210)	2x Mill			
ID_~PmOp(211)	2x Mill			
ID_~PmOp(212)	2x Mill			
ID_~PmOp(213)	2x Mill			
ID_~PmOp(322)	2x Mill			
ID_~PmOp3x(301)	3x Nurbs			
ID_~PmOp3x(302)	3x Nurbs			
ID_~PmOp3x(303)	3x Nurbs			
ID_~PmOp3x(304)	3x Nurbs			
ID_~PmOp3x(305)	3x Nurbs			
ID_~PmOp3x(306)	3x Nurbs			
ID_~PmOp3x(307)	3x Nurbs			
ID_~PmOp3x(308)	3x Nurbs			
ID_~PmOp3x(309)	3x Nurbs			
ID_~PmOp3x(310)	3x Nurbs			
ID_~PmOp3x(311)	3x Nurbs			
ID_~PmOp3x(312)	3x Nurbs			
ID_~PmOp3x(313)	3x Nurbs			
ID_~PmOp3x(314)	3x Nurbs			
ID_~PmOp3x(315)	3x Nurbs			
ID_~PmOp3x(316)	3x Nurbs			
ID_~PmOp3x(317)	3x Nurbs			
ID_~PmOp3x(318)	3x Nurbs			
ID_~PmOp3x(319)	3x Nurbs			
ID_~PmOp3x(321)	3x Nurbs			
ID_~PmOp3x(323)	3x Quick			
ID_~PmOp3x(324)	3x Quick			
ID_~PmOp3x(325)	3x Quick			
ID_~PmOp3x(326)	3x Quick			
ID_~PmOp3x(327)	3x Quick			
ID_~PmOp3x(328)	3x Quick			
ID_~PmOp3x(329)	3x Quick			
ID_~PmOp3x(330)	3x Quick			
ID_~PmOp3x(331)	3x Quick			
ID_~PmOp3x(332)	3x Quick			
ID_~PmOp3x(333)	3x Quick			
ID_~PmOp3x(334)	3x Quick			
ID_~PmOp3x(335)	3x Quick			
ID_~PmOp3x(336)	3x Quick			
ID_~PmOp3x(337)	3x Quick			
ID_~PmOp3x(339)	3x Nurbs			
ID_~PmOp3x(340)	3x Quick			
ID_~PmOp3x(341)	3x Quick			
ID_~PmOp3x(342)	3x Quick			
ID_~PmOp3x(343)	3x Quick			
ID_~PmOp3x(344)	3x Quick			
ID_~PmOp3x(345)	3x Quick			
ID_~PmOp3x(501)	3x Quick			
ID_~PmOp5x(401)	5x Mill			
ID_~PmOp5x(402)	5x Mill			
ID_~PmOp5x(403)	5x Mill			
ID_~PmOp5x(404)	5x Mill			
ID_~PmOp5x(405)	5x Mill			
ID_~PmOp5x(406)	5x Mill			
ID_~PmOp5x(407)	5x Mill			
ID_~PmOpCreate3xChamferDebur	3x Quick			
ID_~PmOpCreate3xChamferDebur2	3x Quick			
ID_~PmOpCreate3xPointCurve	3x Quick			
ID_~PmOpCreate3xTrackCrv	3x Quick			
ID_~PmOpCreate4xFinishing	3x Quick			
ID_~PmOpCreate4xRoughing	3x Quick			
ID_~PmOpCreate5xFcurve	5x Mill			
ID_~PmOpCreate5xGcurve	5x Mill			
ID_~PmOpCreateAreaMill2	3x Quick			
ID_~PmOpCreateChamferDebur	3x Quick			
ID_~PmOpCreateChamferPlunge	3x Quick			
ID_~PmOpCreateCornerFinish2	3x Quick			
ID_~PmOpCreateCornerPlunge	3x Quick			
ID_~PmOpCreateCtrText	2x Mill			
ID_~PmOpCreateMachRegion	Setup			
ID_~PmOpCreateMachVolume	Setup			
ID_~PmOpCreateOff3dcut2	3x Quick			
ID_~PmOpCreatePencilCut2	3x Quick			
ID_~PmOpCreatePocketing	2x Mill			
ID_~PmOpCreateProfileCut2	2x Mill			
ID_~PmOpCreateQmRough	3x Quick			
ID_~PmOpCreateRegionMill	3x Quick			
ID_~PmOpCreateRegionMill2	3x Quick			
ID_~PmOpCreateSpiralCut2	2x Mill			
ID_~PmOpCreateZConstant	3x Quick			
ID_~PmOpCreateZConstant2	3x Quick			
ID_~PmOutPop(14)	Output			
ID_~PmRSetsPop(1)	Drill			
ID_~PmRSetsPop(2)	2x Mill			
ID_~PmRSetsPop(3)	3x Quick			
ID_~PmRelocate	Setup			
ID_~PmShpCnsesMv	Setup			
ID_~PmSpShPop(8)	Output			
ID_~PmSpShPop(9)	Output			
ID_~PmToolShow	Setup			
ID_~PmToolShow2	Setup			
ID_~PmTpVerifyBackFoward	Setup			
ID_~PmTpVerifyFoward	Setup			
ID_~PmTpVerifyPause	Setup			
ID_~PmTpVerifyReset	Setup			
ID_~PmTpVerifyStepBackfoward	Setup			
ID_~PmTpVerifyStepFoward	Setup			
ID_~PmTpathCutShow	Tool Path			
ID_~PmTpathNonCutShow	Tool Path			
ID_~PmTpathShowToolAxis	Tool Path			
ID_~PmTpathShowToolEnd	Tool Path			
ID_~ZwCustomCstr	ZWStructure			
ID_~ZwEnterPost	ZWStructure			
ID_~ZwFullCstr	ZWStructure			
ID_~ZwGTopoLayerMgr	Geometry and Mesh			
ID_~ZwMeshFRecover	Geometry and Mesh	ZwMeshFRecover		
ID_~ZwProElmBeamMngr	ZWStructure			
ID_~ZwShowAllMesh	Geometry and Mesh			
ID_~ZwSimCalculateUI	ZWStructure			
ID_~ZwStClearNode	Geometry and Mesh			
MSMModMd	MSMModMd	MSMModMd		
MSMModPr	MSMModPr	MSMModPr		
MdFaceDefReg	MdFaceDefReg	MdFaceDefReg		
MdLayPart	MdLayPart	MdLayPart		
MdLaySubDtm	MdLaySubDtm	MdLaySubDtm		
MdShpDefReg	MdShpDefReg	MdShpDefReg		
MotBandAnal	MotBandAnal	MotBandAnal		
MotBasicJntCrt	MotBasicJntCrt	MotBasicJntCrt		
MotBodyCrt	MotBodyCrt	MotBodyCrt		
MotCSYSChld	CdCSYS	CdCSYS		
MotConsJntCrt	MotConsJntCrt	MotConsJntCrt		
MotCplrJntCrt	MotCplrJntCrt	MotCplrJntCrt		
MotDriverCrt	MotDriverCrt	MotDriverCrt		
MotInferCrt	MotInferCrt	MotInferCrt		
MotInferList	MotInferList	MotInferList		
MotInitGest	MotInitGest	MotInitGest		
MotMainModel	MotMainModel	MotMainModel		
MotMarkerCrt	MotMarkerCrt	MotMarkerCrt		
MotMeaAnal	MotMeaAnal	MotMeaAnal		
MotSensorCrt	MotSensorCrt	MotSensorCrt		
MotSlnCrt	MotSlnCrt	MotSlnCrt		
MotTest	MotTest	MotTest		
MotTrkCrt	MotTrkCrt	MotTrkCrt		
PipAdjBendRad	PipAdjBendRad	PipAdjBendRad		
PipAlnSettings	PipAlnSettings	PipAlnSettings		
PipBendElbowExc	PipBendElbowExc	PipBendElbowExc		
PipConRotLock	PipConRotLock	PipConRotLock		
PipConRotUnLock	PipConRotUnLock	PipConRotUnLock		
PipDelComp	PipDelComp	PipDelComp		
PipEditQuickDim	PipEditQuickDim	PipEditQuickDim		
PipFlexPipePnt	PipFlexPipePnt	PipFlexPipePnt		
PipFlipPipComp	PipFlipPipComp	PipFlipPipComp		
PipFlowCheck2	PipFlowCheck2	PipFlowCheck2		
PipFlowPick	PipFlowPick	PipFlowPick		
PipHiOnly	PipHiOnly	PipHiOnly		
PipISODmBalloon	PipISODmBalloon	PipISODmBalloon		
PipISODmLin	PipISODmLin	PipISODmLin		
PipISOLineProj	PipISOLineProj	PipISOLineProj		
PipISOProjMod	PipISOProjMod	PipISOProjMod		
PipISOSlope	PipISOSlope	PipISOSlope		
PipInqCompSpec	PipInqCompSpec	PipInqCompSpec		
PipInstBreakPnt	PipInstBreakPnt	PipInstBreakPnt		
PipInstHanger	PipInstHanger	PipInstHanger		
PipInsuEdit	PipInsuEdit	PipInsuEdit		
PipInsuFtr	PipInsuFtr	PipInsuFtr		
PipInsulation	PipInsulation	PipInsulation		
PipLytFlexPipe	PipLytFlexPipe	PipLytFlexPipe		
PipMergBreakPnt	PipMergBreakPnt	PipMergBreakPnt		
PipReverseFlow	PipReverseFlow	PipReverseFlow		
PipRigid	PipRigid	PipRigid		
PipRouteLine	PipRouteLine	PipRouteLine		
PipRoutingCopy	PipRoutingCopy	PipRoutingCopy		
PipRoutingMir	PipRoutingMir	PipRoutingMir		
PipRoutingMove	PipRoutingMove	PipRoutingMove		
PipSetRange	PipSetRange	PipSetRange		
PipTblBendMch	PipTblBendMch	PipTblBendMch		
PipTblConnect	PipTblConnect	PipTblConnect		
PipTblEndPnt	PipTblEndPnt	PipTblEndPnt		
PipV3HideBySpo	PipV3HideBySpo	PipV3HideBySpo		
PipVariational	PipVariational	PipVariational		
PipWelding	PipWelding	PipWelding		
PreModeOpt	CustomOp	CustomOp		
Stt3DFrame	Stt3DFrame	Stt3DFrame		
SttDelInvalidJt	SttDelInvalidJt	SttDelInvalidJt		
SttDtm	SttDtm	SttDtm		
SttEditJtEleRib	SttEditJtEleRib	SttEditJtEleRib		
SttEditSteJtEle	SttEditSteJtEle	SttEditSteJtEle		
SttExtrude	SttExtrude	SttExtrude		
SttJntDelete	SttJntDelete	SttJntDelete		
SttJtCross	SttJtCross	SttJtCross		
SttJtEdit	SttJtEdit	SttJtEdit		
SttJtEleBrkt	SttJtEleBrkt	SttJtEleBrkt		
SttJtEleCap	SttJtEleCap	SttJtEleCap		
SttJtEleEPlt	SttJtEleEPlt	SttJtEleEPlt		
SttJtEleEdtBrkt	SttJtEleEdtBrkt	SttJtEleEdtBrkt		
SttJtEleEdtCap	SttJtEleEdtCap	SttJtEleEdtCap		
SttJtEleEdtEPlt	SttJtEleEdtEPlt	SttJtEleEdtEPlt		
SttJtEleEdtRec	SttJtEleEdtRec	SttJtEleEdtRec		
SttJtEleEdtSRec	SttJtEleEdtSRec	SttJtEleEdtSRec		
SttJtEleEdtSTri	SttJtEleEdtSTri	SttJtEleEdtSTri		
SttJtEleEdtTri	SttJtEleEdtTri	SttJtEleEdtTri		
SttJtEleIPlt	SttJtEleIPlt	SttJtEleIPlt		
SttJtEleInsBrkt	SttJtEleInsBrkt	SttJtEleInsBrkt		
SttJtEleInsCap	SttJtEleInsCap	SttJtEleInsCap		
SttJtEleInsEPlt	SttJtEleInsEPlt	SttJtEleInsEPlt		
SttJtEleInsRec	SttJtEleInsRec	SttJtEleInsRec		
SttJtEleInsSRec	SttJtEleInsSRec	SttJtEleInsSRec		
SttJtEleInsSTri	SttJtEleInsSTri	SttJtEleInsSTri		
SttJtEleInsTri	SttJtEleInsTri	SttJtEleInsTri		
SttJtEleRec	SttJtEleRec	SttJtEleRec		
SttJtEleSRec	SttJtEleSRec	SttJtEleSRec		
SttJtEleSTri	SttJtEleSTri	SttJtEleSTri		
SttJtEleTri	SttJtEleTri	SttJtEleTri		
SttJtEleUPlt	SttJtEleUPlt	SttJtEleUPlt		
SttJtEndDatum	SttJtEndDatum	SttJtEndDatum		
SttJtEndToFace	SttJtEndToFace	SttJtEndToFace		
SttJtEndTrim	SttJtEndTrim	SttJtEndTrim		
SttJtFaceTrim	SttJtFaceTrim	SttJtFaceTrim		
SttJtLap	SttJtLap	SttJtLap		
SttJtMiter	SttJtMiter	SttJtMiter		
SttJtTJoint	SttJtTJoint	SttJtTJoint		
SttJtToolFace	SttJtToolFace	SttJtToolFace		
SttLapRemove	SttLapRemove	SttLapRemove		
SttLytAluJtEle	SttLytAluJtEle	SttLytAluJtEle		
SttLytSttEle	SttLytSttEle	SttLytSttEle		
SttMemReplace	SttMemReplace	SttMemReplace		
SttMemReuse	SttMemReuse	SttMemReuse		
SttMemberEdit	SttMemberEdit	SttMemberEdit		
SttMemberLyt	SttMemberLyt	SttMemberLyt		
SttPlnOnCrv	SttPlnOnCrv	SttPlnOnCrv		
SttSelectPoint	SttSelectPoint	SttSelectPoint		
SttShtSegBOM	SttShtSegBOM	SttShtSegBOM		
SttSlotLine	SttSlotLine	SttSlotLine		
SttStMbrLocCrv	SttStMbrLocCrv	SttStMbrLocCrv		
SttStMbrStock	SttStMbrStock	SttStMbrStock		
SttStockLine	SttStockLine	SttStockLine		
SttStructDel	SttStructDel	SttStructDel		
TRCS1	CustomOp	CustomOp		
TRCS2	CustomOp	CustomOp		
TRCU1	CustomOp	CustomOp		
TRCopy	CustomOp	CustomOp		
TRCpRot	CustomOp	CustomOp		
TRDP1	CustomOp	CustomOp		
TRDel	TRDel	TRDel		
TREB1	CustomOp	CustomOp		
TREP1	CustomOp	CustomOp		
TREP2	CustomOp	CustomOp		
TREP3	CustomOp	CustomOp		
TREP4	CustomOp	CustomOp		
TREPTRIM	CustomOp	CustomOp		
TRES1	CustomOp	CustomOp		
TRExportIges	TRExportIges	TRExportIges		
TRGS1	CustomOp	CustomOp		
TRGS2	CustomOp	CustomOp		
TRH1	CustomOp	CustomOp		
TRImportIges	TRImportIges	TRImportIges		
TRLP1	CustomOp	CustomOp		
TRLP2	CustomOp	CustomOp		
TRLP3	CustomOp	CustomOp		
TRLPB1	CustomOp	CustomOp		
TRLPB2	CustomOp	CustomOp		
TRLR1	CustomOp	CustomOp		
TRLR2	CustomOp	CustomOp		
TRLR3	CustomOp	CustomOp		
TRMassProp	CustomOp	CustomOp		
TROR1	CustomOp	CustomOp		
TRPLG1	CustomOp	CustomOp		
TRPLG2	CustomOp	CustomOp		
TRPLG3	CustomOp	CustomOp		
TRPLG4	CustomOp	CustomOp		
TRPLT1	CustomOp	CustomOp		
TRPLT2	CustomOp	CustomOp		
TRSB1	CustomOp	CustomOp		
TRSD1	CustomOp	CustomOp		
TRSHCS1	CustomOp	CustomOp		
TRSHCS2	CustomOp	CustomOp		
TRSHCS3	CustomOp	CustomOp		
TRSP1	CustomOp	CustomOp		
TRSPL1	CustomOp	CustomOp		
TRStock	CustomOp	CustomOp		
TrCorner	CustomOp	CustomOp		
TrCutBox	CustomOp	CustomOp		
TrSk2	CdTrSk2	CdTrSk2		
TubCrvMod	TubCrvMod	TubCrvMod		
TubLength	AsAlnAll	AsAlnAll		
TubLengthRedef	AsAlnRedefine	AsAlnRedefine		
TubThruClip	TubThruClip	TubThruClip		
ZwAddVirWall	ZwAddVirWall	ZwAddVirWall		
ZwBoolAuto2D	ZwBoolAuto2D	ZwBoolAuto2D		
ZwBoolAuto3D	ZwBoolAuto3D	ZwBoolAuto3D		
ZwCeAddGeom	ZwCeAddGeom	ZwCeAddGeom		
ZwCeAddPnt	ZwCeAddPnt	ZwCeAddPnt		
ZwCeAddPnt2	ZwCeAddPnt2	ZwCeAddPnt2		
ZwCeChkElem	ZwCeChkElem	ZwCeChkElem		
ZwCeDispCtrl	ZwCeDispCtrl	ZwCeDispCtrl		
ZwCeMeshQual	ZwCeMeshQual	ZwCeMeshQual		
ZwCeMidSurface	ZwCeMidSurface	ZwCeMidSurface		
ZwCeRenameGroup	ZwCeRenameGroup	ZwCeRenameGroup		
ZwCreatIprt	ZwCreatIprt	ZwCreatIprt		
ZwCreateSim	ZwCreateSim	ZwCreateSim		
ZwDelOpenEdge	ZwDelOpenEdge	ZwDelOpenEdge		
ZwDelSelfXFace	ZwDelSelfXFace	ZwDelSelfXFace		
ZwDelSliverFace	ZwDelSliverFace	ZwDelSliverFace		
ZwDelSmallFace	ZwDelSmallFace	ZwDelSmallFace		
ZwDelTinyEdge	ZwDelTinyEdge	ZwDelTinyEdge		
ZwEmMdlAdd	ZwEmMdlAdd	ZwEmMdlAdd		
ZwEmMdlIntesect	ZwEmMdlIntesect	ZwEmMdlIntesect		
ZwEmMdlSubtract	ZwEmMdlSubtract	ZwEmMdlSubtract		
ZwFluidsBaseGPolObject	ZwFluidsBaseGPolObject	ZwFluidsBaseGPolObject		
ZwFluidsMeshBox	ZwFluidsMeshBox	ZwFluidsMeshBox		
ZwGeomPrism	ZwGeomPrism	ZwGeomPrism		
ZwGeomSplitTry	ZwGeomSplitTry	ZwGeomSplitTry		
ZwGeomTorus	ZwGeomTorus	ZwGeomTorus		
ZwLFAnimation	ZwLFAnimation	ZwLFAnimation		
ZwLFTask2D	ZwLFTask2D	ZwLFTask2D		
ZwLFTask3D	ZwLFTask3D	ZwLFTask3D		
ZwMesh3DAirbox	ZwMesh3DAirbox	ZwMesh3DAirbox		
ZwMeshAirBox	ZwMeshAirBox	ZwMeshAirBox		
ZwMeshAirBoxAd	ZwMeshAirBoxAd	ZwMeshAirBoxAd		
ZwMeshFRecover	ZwMeshFRecover	ZwMeshFRecover		
ZwMeshGBox	ZwMeshGBox	ZwMeshGBox		
ZwMeshGCircle	ZwMeshGCircle	ZwMeshGCircle		
ZwMeshGCyl	ZwMeshGCyl	ZwMeshGCyl		
ZwMeshGRect	ZwMeshGRect	ZwMeshGRect		
ZwMeshMate	ZwMeshMate	ZwMeshMate		
ZwMeshPickCir	ZwMeshPickCir	ZwMeshPickCir		
ZwMeshPickPoly	ZwMeshPickPoly	ZwMeshPickPoly		
ZwMeshRightShade	ZwMeshRightShade	ZwMeshRightShade		
ZwMeshSweepAuto	ZwMeshSweepAuto	ZwMeshSweepAuto		
ZwMeshVoxel	ZwMeshVoxel	ZwMeshVoxel		
ZwMetasMatEdit	ZwMetasMatEdit	ZwMetasMatEdit		
ZwPOPickCurve	ZwPOPickCurve	ZwPOPickCurve		
ZwPOPickDimen	ZwPOPickDimen	ZwPOPickDimen		
ZwPOPickFace	ZwPOPickFace	ZwPOPickFace		
ZwPOPickShape	ZwPOPickShape	ZwPOPickShape		
ZwPickSetMerge	ZwPickSetMerge	ZwPickSetMerge		
ZwReactForceRes	ZwReactForceRes	ZwReactForceRes		
ZwRemove2DHoles	ZwRemove2DHoles	ZwRemove2DHoles		
ZwRemoveHoles	ZwRemoveHoles	ZwRemoveHoles		
ZwRemoveLogo	ZwRemoveLogo	ZwRemoveLogo		
ZwResAnimation	ZwResAnimation	ZwResAnimation		
ZwSaveImage	ZwSaveImage	ZwSaveImage		
ZwSimImportDxf	ZwSimImportDxf	ZwSimImportDxf		
ZwSimSupFile	ZwSimSupFile	ZwSimSupFile		
ZwSimplifyCyl	ZwSimplifyCyl	ZwSimplifyCyl		
ZwSkSector	ZwSkSector	ZwSkSector		
ZwSketchImprnt	ZwSketchImprnt	ZwSketchImprnt		
ZwStRemeshRule	ZwStRemeshRule	ZwStRemeshRule		
ZwStepAnimation	ZwStepAnimation	ZwStepAnimation		
ZwTaskTransform	ZwTaskTransform	ZwTaskTransform		
ZwTrimInfoAdd	ZwTrimInfoAdd	ZwTrimInfoAdd		
ZwUiCoorSystem	ZwUiCoorSystem	ZwUiCoorSystem		
ZwWireFrmImprnt	ZwWireFrmImprnt	ZwWireFrmImprnt		
