funzione	header	riga	deprecated	firma
ZwCSYSCreateByThreePoints	zwapi_datum.h	112		ezwErrors ZwCSYSCreateByThreePoints(szwDatumCSYSMethodThreePoints threePoints, szwEntityHandle *csys)
ZwCSYSCreateByThreePointsInit	zwapi_datum.h	105		ezwErrors ZwCSYSCreateByThreePointsInit(szwDatumCSYSMethodThreePoints *threePoints)
ZwCSYSInit	zwapi_datum.h	127		ezwErrors ZwCSYSInit(ezwDatumCSYSMethods method, szwDatumCSYSData *data)
ZwCSYSPlaneGet	zwapi_datum.h	136		ezwErrors ZwCSYSPlaneGet(szwEntityHandle csys, ezwDatumPlaneType type, szwEntityHandle *plane)
ZwCamAdvPlanOpGetParent	zwapi_cm_op.h	268		ezwErrors ZwCamAdvPlanOpGetParent(ezwCamBrowserRootType rootType, int idxOp, int *idxParent)
ZwCamAllNcFolderInq	zwapi_cm_query.h	166		ezwErrors ZwCamAllNcFolderInq(int *numObjs, int **idxListPtr)
ZwCamAllOperationInq	zwapi_cm_query.h	172		ezwErrors ZwCamAllOperationInq(int *numObjs, int **idxListPtr)
ZwCamAllToolInq	zwapi_cm_query.h	169		ezwErrors ZwCamAllToolInq(int *numObjs, int **idxListPtr)
ZwCamAsmEnter	zwapi_cm_comp.h	107		ezwErrors ZwCamAsmEnter()
ZwCamAsmExit	zwapi_cm_comp.h	110		ezwErrors ZwCamAsmExit()
ZwCamBrowserAllUnselect	zwapi_cm_query.h	145		ezwErrors ZwCamBrowserAllUnselect()
ZwCamBrowserMoveObjects	zwapi_cm_query.h	151		ezwErrors ZwCamBrowserMoveObjects(ezwCamObjectMovePosition movePosition, ezwCamBrowserRootType rootType, int destinationObjIdx, int movedObjCnt, int *movedObjs)
ZwCamBrowserSelectedObjInq	zwapi_cm_query.h	148		ezwErrors ZwCamBrowserSelectedObjInq(int *numObjs, int **idxListPtr)
ZwCamChamferFeatDataGet	zwapi_cm_ftr.h	293		ezwErrors ZwCamChamferFeatDataGet(int feat_idx, szwCamFtrChamferAttr *chamfAttr)
ZwCamChamferFeatDataSet	zwapi_cm_ftr.h	296		ezwErrors ZwCamChamferFeatDataSet(int feat_idx, const szwCamFtrChamferAttr *chamfAttr)
ZwCamComponentIndexGet	zwapi_cm_comp.h	104		ezwErrors ZwCamComponentIndexGet(szwEntityHandle compHandle, int *cmcompIdx)
ZwCamCroundFeatDataGet	zwapi_cm_ftr.h	280		ezwErrors ZwCamCroundFeatDataGet(int feat_idx, szwCamFtrCroundAttr *crndAttr)
ZwCamCroundFeatDataSet	zwapi_cm_ftr.h	283		ezwErrors ZwCamCroundFeatDataSet(int feat_idx, const szwCamFtrCroundAttr *crndAttr)
ZwCamCurveCurvatureGet	zwapi_cm_query.h	131		ezwErrors ZwCamCurveCurvatureGet(svxEntPath curve, double t, szwPoint *point, szwPoint *normal, double *curvature)
ZwCamEntPathObjCreate	zwapi_cm_ftr.h	307		ezwErrors ZwCamEntPathObjCreate(const svxEntPath *path, int *idxEntPath)
ZwCamEntPathObjInq	zwapi_cm_ftr.h	310		ezwErrors ZwCamEntPathObjInq(int idxEntPath, svxEntPath *path)
ZwCamEntityStlInq	zwapi_cm_query.h	137		ezwErrors ZwCamEntityStlInq(const svxEntPath *entPath, int entCnt, svxSTL *stl)
ZwCamFaceEvaluate	zwapi_cm_query.h	128		ezwErrors ZwCamFaceEvaluate(svxEntPath face, double U, double V, szwPoint *point, szwVector *normal, szwVector *UTangent, szwVector *VTangent)
ZwCamFacePointProjectionUVGet	zwapi_cm_query.h	125		ezwErrors ZwCamFacePointProjectionUVGet(svxEntPath face, szwPoint point, double *U, double *V)
ZwCamFeatDelete	zwapi_cm_ftr.h	240		ezwErrors ZwCamFeatDelete(int featIdx)
ZwCamFeatElementDelete	zwapi_cm_ftr.h	249		ezwErrors ZwCamFeatElementDelete(int featIdx, szwEntityHandle elementEntHandle)
ZwCamFilterHoleResultOnSurface	zwapi_cm_query.h	143		ezwErrors ZwCamFilterHoleResultOnSurface(int pathCount, const szwEntityHandle *selectHandle, int srcResultCnt, const szwCamHoleResult *srcResult, int *resultCount, szwCamHoleResultOnFace **resultOnFace)
ZwCamFindHole	zwapi_cm_query.h	140		ezwErrors ZwCamFindHole(int pathCount, const szwEntityHandle *selectHandle, int dirCount, const szwPoint *dir, int *resultCount, szwCamHoleResult **result)
ZwCamFolderCreate	zwapi_cm_folder.h	46		ezwErrors ZwCamFolderCreate(const char *name, int parentIdx, int prevIdx, int *folderIdx)
ZwCamFolderNameGet	zwapi_cm_folder.h	56		ezwErrors ZwCamFolderNameGet(int folderIdx, char *name, int size)
ZwCamFolderNameSet	zwapi_cm_folder.h	53		ezwErrors ZwCamFolderNameSet(int folderIdx, const char *name)
ZwCamFrameAutoClearanceGet	zwapi_cm_frame.h	80		ezwErrors ZwCamFrameAutoClearanceGet(int frameIdx, szwCamFrameAutoClearance *autoClear)
ZwCamFrameAutoClearanceSet	zwapi_cm_frame.h	77		ezwErrors ZwCamFrameAutoClearanceSet(int frameIdx, szwCamFrameAutoClearance autoClear)
ZwCamFrameClearanceZGet	zwapi_cm_frame.h	74		ezwErrors ZwCamFrameClearanceZGet(int frameIdx, double *clearanceZ)
