funzione	header	riga	deprecated	firma
ZwEntityReferenceDrawingGeometryGetByView	zwapi_entity.h	276		ezwErrors ZwEntityReferenceDrawingGeometryGetByView(szwEntityHandle entityHandle, zwPath fileName, zwRootName rootName, int viewCount, szwEntityHandle *viewHandleList, int *countView, szwReferenceViewGeometryList **referenceList)
ZwEntityReferenceFileNameGet	zwapi_entity.h	176		ezwErrors ZwEntityReferenceFileNameGet(szwEntityHandle entityHandle, int fileSize, char *fileName, int rootSize, char *rootName)
ZwEntityReferenceGet	zwapi_entity.h	230		ezwErrors ZwEntityReferenceGet(szwEntityHandle referenceHandle, szwEntityHandle *handle)
ZwEntityReferenceSheetGeometryListFree	zwapi_entity.h	288		ezwErrors ZwEntityReferenceSheetGeometryListFree(int countData, szwReferenceSheetGeometryList **referenceList)
ZwEntityReferenceViewGeometryListFree	zwapi_entity.h	285		ezwErrors ZwEntityReferenceViewGeometryListFree(int countData, szwReferenceViewGeometryList **referenceList)
ZwEntityShapeGet	zwapi_entity.h	170		ezwErrors ZwEntityShapeGet(szwEntityHandle entityHandle, szwEntityHandle *shapeHandle)
ZwEntitySuppressGet	zwapi_entity.h	89		ezwErrors ZwEntitySuppressGet(szwEntityHandle handle, int *suppress)
ZwEntityTemporaryColorRgbSet	zwapi_entity.h	128		ezwErrors ZwEntityTemporaryColorRgbSet(szwColor color, int count, szwEntityHandle *entityHandleList)
ZwEntityTransformMatrixGet	zwapi_entity.h	206		ezwErrors ZwEntityTransformMatrixGet(szwEntityHandle entityHandle, szwMatrix *matrix)
ZwEntityTransparencyGet	zwapi_entity.h	134		ezwErrors ZwEntityTransparencyGet(szwEntityHandle entityHandle, int *transparency)
ZwEntityTransparencySet	zwapi_entity.h	131		ezwErrors ZwEntityTransparencySet(int transparency, int count, const szwEntityHandle *entityHandleList)
ZwEntityTypeNameGet	zwapi_entity.h	179		ezwErrors ZwEntityTypeNameGet(ezwEntityType typeNumber, int nameSize, char *typeName)
ZwEntityTypeNumberGet	zwapi_entity.h	185		ezwErrors ZwEntityTypeNumberGet(szwEntityHandle entityHandle, ezwEntityType *type)
ZwEntityUnHighlight	zwapi_entity.h	146		ezwErrors ZwEntityUnHighlight(szwEntityHandle entityHandle)
ZwEntityUnPick	zwapi_entity.h	107		ezwErrors ZwEntityUnPick(szwEntityHandle entityHandle)
ZwEntityUnPickAll	zwapi_entity.h	101		ezwErrors ZwEntityUnPickAll()
ZwEntityUnPickLast	zwapi_entity.h	104		ezwErrors ZwEntityUnPickLast()
ZwEntityUnhighlightAll	zwapi_entity.h	140		ezwErrors ZwEntityUnhighlightAll()
ZwEntityUniqueIdGet	zwapi_entity.h	260		ezwErrors ZwEntityUniqueIdGet(szwEntityHandle entityHandle, szwEntityIdentifier *entityId)
ZwEntityUserAttributeDelete	zwapi_attribute.h	102		ezwErrors ZwEntityUserAttributeDelete(szwEntityHandle entityHandle, int strictFlag, int count, const zwString64 *nameList)
ZwEntityUserAttributeGet	zwapi_attribute.h	92		ezwErrors ZwEntityUserAttributeGet(szwEntityHandle entityHandle, const zwString64 attributeName, int *count, szwUserAttribute **attributeList)
ZwEntityUserAttributeSet	zwapi_attribute.h	99		ezwErrors ZwEntityUserAttributeSet(szwEntityHandle entityHandle, int count, const szwUserAttribute *attributeList)
ZwEnvironmentReactorSet	zwapi_global_apply.h	230		ezwErrors ZwEnvironmentReactorSet(szwEnvironmentReactorData data)
ZwEquationManagerDimensionDataGet	zwapi_equationmanager.h	28		ezwErrors ZwEquationManagerDimensionDataGet(const zwString256 dimensionName, szwEquationDimensionData *dimensionData)
ZwEquationManagerDimensionDataListGet	zwapi_equationmanager.h	25		ezwErrors ZwEquationManagerDimensionDataListGet(int *countDimension, szwEquationDimensionData **dimensionList)
ZwEquationManagerDimensionDataSet	zwapi_equationmanager.h	31		ezwErrors ZwEquationManagerDimensionDataSet(const zwString256 dimensionName, szwEquationDimensionData dimensionData)
ZwEquationManagerDimensionListEnlist	zwapi_equationmanager.h	13		ezwErrors ZwEquationManagerDimensionListEnlist(int countDimension, const szwEntityHandle *dimensionList)
ZwEquationManagerDimensionListGet	zwapi_equationmanager.h	22		ezwErrors ZwEquationManagerDimensionListGet(int *countDimension, szwEntityHandle **dimensionList)
ZwEquationManagerDimensionListUnenlist	zwapi_equationmanager.h	19		ezwErrors ZwEquationManagerDimensionListUnenlist(int countDimension, const zwString256 *dimensionList)
ZwEquationManagerEquationsExport	zwapi_equationmanager.h	34		ezwErrors ZwEquationManagerEquationsExport(const zwString256 filePath, const zwString256 fileName)
ZwEquationManagerFileLink	zwapi_equationmanager.h	37		ezwErrors ZwEquationManagerFileLink(const zwString256 file)
ZwEquationManagerFileUnlink	zwapi_equationmanager.h	40		ezwErrors ZwEquationManagerFileUnlink()
ZwEulerAngleToMatrix	zwapi_matrix.h	60		ezwErrors ZwEulerAngleToMatrix(ezwEulerAngleSequence sequenceType, szwEulerMatrix eulerData, szwMatrix *resultMatrix)
ZwExternalFeatureFileAndRootNameGet	zwapi_dataexchange.h	14		ezwErrors ZwExternalFeatureFileAndRootNameGet(szwEntityHandle featureHandle, int nFileBytes, char *fileName, int nRootBytes, char *rootName)
ZwExternalGeometryCopyCreate	zwapi_dataexchange.h	45		ezwErrors ZwExternalGeometryCopyCreate(szwExternalGeometryCopyData data, szwEntityHandle *featureHandle)
ZwExternalGeometryCopyDataFree	zwapi_dataexchange.h	54		ezwErrors ZwExternalGeometryCopyDataFree(szwExternalGeometryCopyData *data)
ZwExternalGeometryCopyDataGet	zwapi_dataexchange.h	51		ezwErrors ZwExternalGeometryCopyDataGet(szwEntityHandle featureHandle, szwExternalGeometryCopyData *data)
ZwExternalGeometryCopyDataSet	zwapi_dataexchange.h	48		ezwErrors ZwExternalGeometryCopyDataSet(szwEntityHandle featureHandle, szwExternalGeometryCopyData data)
ZwExternalGeometryCopyInit	zwapi_dataexchange.h	42		ezwErrors ZwExternalGeometryCopyInit(ezwExternalGeometryCopyType copyType, szwExternalGeometryCopyData *data)
ZwExternalPartImport	zwapi_dataexchange.h	20		ezwErrors ZwExternalPartImport(szwPartImportData data, int *count, szwEntityHandle **shapeList)
ZwFace3DSurfaceDataGet	zwapi_face.h	161		ezwErrors ZwFace3DSurfaceDataGet(szwFace3DSurfaceMeasureInputData settings, szwFace3DSurfaceMeasureOutputData *results)
ZwFaceAreaGet	zwapi_face.h	40		ezwErrors ZwFaceAreaGet(szwEntityHandle face, double tolerance, double *area)
ZwFaceCenterCurveGet	zwapi_face.h	108		ezwErrors ZwFaceCenterCurveGet(int countFace, const szwEntityHandle *faceList, int extractAxis, int *countEntity, szwEntityHandle **entityList)
ZwFaceConcaveCheck	zwapi_face.h	146		ezwErrors ZwFaceConcaveCheck(szwEntityHandle faceHandle, int *isConcave)
ZwFaceConnectedEdgeGet	zwapi_face.h	84		ezwErrors ZwFaceConnectedEdgeGet(int nSeeds, const szwEntityHandle *seedFaceHandles, ezwEdgeLoopType type, int *count, szwEntityHandle **edgeHandles)
ZwFaceConnectedFaceGet	zwapi_face.h	81		ezwErrors ZwFaceConnectedFaceGet(int nSeeds, const szwEntityHandle *seedFaceHandles, szwFaceFindAttribute findData, int *count, szwEntityHandle **faceHandles)
ZwFaceContinuityGet	zwapi_face.h	126		ezwErrors ZwFaceContinuityGet(szwEntityHandle face1, szwEntityHandle face2, int nSample, szwSurfaceContinuityTolerance tolerance, int *nContinuityData, szwSurfaceContinuityData **data)
ZwFaceContinuityToleranceInit	zwapi_face.h	123		ezwErrors ZwFaceContinuityToleranceInit(szwSurfaceContinuityTolerance *data)
ZwFaceCurvatureDataGet	zwapi_face.h	155		ezwErrors ZwFaceCurvatureDataGet(szwEntityHandle faceHandle, szwSurfaceLocation location, szwSurfaceCurvatureData *curvatureData)
ZwFaceCylinderGeometricInformationGet	zwapi_face.h	132		ezwErrors ZwFaceCylinderGeometricInformationGet(szwEntityHandle face, double *radius, double *height, szwPoint *bottomPnt, szwPoint *topPnt, szwPoint *dir)
ZwFaceCylinderialCheck	zwapi_face.h	129		ezwErrors ZwFaceCylinderialCheck(szwEntityHandle face, int *flag)
ZwFaceDataTransform	zwapi_face.h	43		ezwErrors ZwFaceDataTransform(szwMatrix inputMatrix, szwSurface *surface)
ZwFaceDiameterGetByUVparameter	zwapi_face.h	61		ezwErrors ZwFaceDiameterGetByUVparameter(szwSurface surface, double U, double V, double *diameter)
ZwFaceDisplayAttributeGet	zwapi_face.h	90		ezwErrors ZwFaceDisplayAttributeGet(szwEntityHandle face, szwFaceDisplayAttribute *attribute)
ZwFaceDisplayAttributeSet	zwapi_face.h	96		ezwErrors ZwFaceDisplayAttributeSet(int count, const szwEntityHandle *faceList, szwFaceDisplayAttribute attribute)
ZwFaceDisplayAttributeSetInit	zwapi_face.h	99		ezwErrors ZwFaceDisplayAttributeSetInit(szwFaceDisplayAttribute *data)
ZwFaceEdgeListGet	zwapi_face.h	34		ezwErrors ZwFaceEdgeListGet(szwEntityHandle face, int *count, szwEntityHandle **edgeList)
ZwFaceEvaluateGeometryGet	zwapi_face.h	143		ezwErrors ZwFaceEvaluateGeometryGet(szwEntityHandle faceHandle, double U, double V, int level, szwEvaluateSurfaceResult *evalSrf)
ZwFaceExternThreadDataGet	zwapi_face.h	28		ezwErrors ZwFaceExternThreadDataGet(szwEntityHandle face, szwExternThreadData *data)
ZwFaceFacetsDataFree	zwapi_face.h	117		ezwErrors ZwFaceFacetsDataFree(szwFacets *facetsData)
ZwFaceFacetsGet	zwapi_face.h	111		ezwErrors ZwFaceFacetsGet(szwRefineFacets refineData, szwFacets *facetsData)
ZwFaceGeometryDataFree	zwapi_face.h	73		ezwErrors ZwFaceGeometryDataFree(szwFaceGeometry *faceGeom)
ZwFaceGeometryDataGet	zwapi_face.h	70		ezwErrors ZwFaceGeometryDataGet(szwEntityHandle face, szwFaceGeometry *faceGeom)
ZwFaceListFacetsGet	zwapi_face.h	114		ezwErrors ZwFaceListFacetsGet(szwRefineFacetsOfMultiFace refineData, int *countFacets, szwFacets **facetsDataList)
ZwFaceLoopListGet	zwapi_face.h	37		ezwErrors ZwFaceLoopListGet(szwEntityHandle face, int inner, int *count, szwEntityHandle **loopList)
ZwFaceMeshCreate	zwapi_face.h	64		ezwErrors ZwFaceMeshCreate(szwFaceMeshData data, szwFaceMeshResult *meshList)
ZwFaceMeshDataFree	zwapi_face.h	67		ezwErrors ZwFaceMeshDataFree(szwFaceMeshResult *meshList)
ZwFacePointGetByBoundingBoxCenter	zwapi_point.h	62		ezwErrors ZwFacePointGetByBoundingBoxCenter(szwEntityHandle faceHandle, double parameter[2], szwPoint *point)
ZwFacePointGetByUV	zwapi_face.h	134		ezwErrors ZwFacePointGetByUV(szwEntityHandle faceHandle, double U, double V, szwPoint *point, szwVector *normalDirection, szwVector *uTangent, szwVector *vTangent)
ZwFacePointGetByUVparameter	zwapi_face.h	55		ezwErrors ZwFacePointGetByUVparameter(szwSurface surface, double U, double V, szwPoint *point, szwVector *normalDirection, szwVector *uTangent, szwVector *vTangent)
ZwFacePointOnFaceLocation	zwapi_face.h	158		ezwErrors ZwFacePointOnFaceLocation(szwEntityHandle faceHandle, double u, double v, ezwPointOnFaceLocation *location)
ZwFacePoleCheck	zwapi_face.h	46		ezwErrors ZwFacePoleCheck(szwSurface surface, double tolerance, int poles[4], int *isPoleFind)
ZwFacePoleGet	zwapi_face.h	49		ezwErrors ZwFacePoleGet(szwSurface surface, szwPoint direction, szwPoint *point)
ZwFaceRadialIntegrityGet	zwapi_face.h	149		ezwErrors ZwFaceRadialIntegrityGet(szwEntityHandle faceHandle, double *uRatio, double *vRatio)
ZwFaceReverseUV	zwapi_face.h	152		ezwErrors ZwFaceReverseUV(int numFaces, const szwEntityHandle *faceHandleList)
ZwFaceSelfIntersectionCheck	zwapi_face.h	52		ezwErrors ZwFaceSelfIntersectionCheck(szwEntityHandle face, double tolerance, int *intersecting)
ZwFaceShapeGet	zwapi_face.h	17		ezwErrors ZwFaceShapeGet(szwEntityHandle face, szwEntityHandle *shape)
ZwFaceSurfaceDataGet	zwapi_face.h	22		ezwErrors ZwFaceSurfaceDataGet(szwEntityHandle faceHandle, szwSurface *data)
ZwFaceTextureAttributeGet	zwapi_face.h	120		ezwErrors ZwFaceTextureAttributeGet(szwEntityHandle faceHandle, szwTextureAttribute *texture)
ZwFaceThreadDataGet	zwapi_face.h	31		ezwErrors ZwFaceThreadDataGet(szwEntityHandle face, szwThreadData *data)
ZwFaceUVGetByPointProject	zwapi_face.h	140		ezwErrors ZwFaceUVGetByPointProject(szwEntityHandle faceHandle, szwPoint point, double *U, double *V)
ZwFaceUVLimitGet	zwapi_face.h	137		ezwErrors ZwFaceUVLimitGet(szwEntityHandle faceHandle, szwLimit *U, szwLimit *V)
ZwFeatureAddMultipleShapeCreate	zwapi_feature_shape.h	48		ezwErrors ZwFeatureAddMultipleShapeCreate(szwBoolData data)
ZwFeatureAddShapeCreate	zwapi_feature_shape.h	51		ezwErrors ZwFeatureAddShapeCreate(szwBoolData data)
ZwFeatureArcCreate	zwapi_feature_wireframe.h	84		ezwErrors ZwFeatureArcCreate(szwArcData data, szwEntityHandle *handle)
ZwFeatureArcCreateByAngle	zwapi_feature_wireframe.h	93		ezwErrors ZwFeatureArcCreateByAngle(szwEntityHandle plane, double radius, double startAngle, double endAngle, szwEntityHandle *arcHandle)
ZwFeatureArcCreateByThrough	zwapi_feature_wireframe.h	90		ezwErrors ZwFeatureArcCreateByThrough(szwPoint startPoint, szwPoint endPoint, szwPoint midPoint, szwEntityHandle *arcHandle)
ZwFeatureArcDataInit	zwapi_feature_wireframe.h	81		ezwErrors ZwFeatureArcDataInit(ezw3DArcType type, szwArcData *data)
ZwFeatureAssociateFaceListGet	zwapi_feature_general.h	35		ezwErrors ZwFeatureAssociateFaceListGet(szwEntityHandle featureHandle, int *count, szwEntityHandle **faceList)
ZwFeatureBalloonDiscreteDataFree	zwapi_pmi.h	173		ezwErrors ZwFeatureBalloonDiscreteDataFree(szwFeatureBalloonDiscreteData *data)
ZwFeatureBalloonDiscreteDataGet	zwapi_pmi.h	170		ezwErrors ZwFeatureBalloonDiscreteDataGet(szwEntityHandle annotationBalloon, szwFeatureBalloonDiscreteData *data)
ZwFeatureBoolDataInit	zwapi_feature_shape.h	41		ezwErrors ZwFeatureBoolDataInit(szwBoolData *data)
ZwFeatureBoundingCreate	zwapi_pmi.h	245		ezwErrors ZwFeatureBoundingCreate(szwBoundingData data, szwEntityHandle *feature, szwBoundingSize *modelSize, szwBoundingSize *stockSize)
ZwFeatureBoundingDataFree	zwapi_pmi.h	254		ezwErrors ZwFeatureBoundingDataFree(szwBoundingData *data)
ZwFeatureBoundingDataGet	zwapi_pmi.h	248		ezwErrors ZwFeatureBoundingDataGet(szwEntityHandle feature, szwBoundingData *data)
ZwFeatureBoundingDataSet	zwapi_pmi.h	251		ezwErrors ZwFeatureBoundingDataSet(szwEntityHandle feature, szwBoundingData data)
ZwFeatureBoundingReferenceLineGet	zwapi_pmi.h	134		ezwErrors ZwFeatureBoundingReferenceLineGet(szwEntityHandle boundingHandle, int *countCurve, szwEntityHandle **curveList)
ZwFeatureBoxCreateByCenter	zwapi_feature_shape.h	26		ezwErrors ZwFeatureBoxCreateByCenter(szwCenterBoxData data, int *count, szwEntityHandle **handleList)
ZwFeatureCenterBoxDataInit	zwapi_feature_shape.h	23		ezwErrors ZwFeatureCenterBoxDataInit(szwCenterBoxData *data)
ZwFeatureChamferCreate	zwapi_feature_shape.h	106		ezwErrors ZwFeatureChamferCreate(szwChamferData data, szwEntityHandle *chamferFeatureHandle)
ZwFeatureChamferCreateByAngle	zwapi_cmd_shape.h	106	@deprecated	ezwErrors ZwFeatureChamferCreateByAngle(int edgeCount, const int *edgeList, int flip, double setback, double angle)
ZwFeatureChamferCreateByDistance	zwapi_cmd_shape.h	112		ezwErrors ZwFeatureChamferCreateByDistance(int edgeCount, const int *edgeList, int flip, double setback1, double setback2)
ZwFeatureChamferDataFree	zwapi_feature_shape.h	103		ezwErrors ZwFeatureChamferDataFree(szwChamferData *data)
ZwFeatureChamferDataInit	zwapi_feature_shape.h	100		ezwErrors ZwFeatureChamferDataInit(ezwChamferType type, szwChamferData *data)
ZwFeatureChildEntityListGet	zwapi_feature_general.h	29		ezwErrors ZwFeatureChildEntityListGet(szwEntityHandle featureHandle, ezwEntityType entityType, int *count, szwEntityHandle **entityList)
ZwFeatureCircleCreateByRadius	zwapi_feature_wireframe.h	87		ezwErrors ZwFeatureCircleCreateByRadius(szwEntityHandle plane, double radius, szwEntityHandle *circleHandle)
ZwFeatureConcatenateCurveCreate	zwapi_feature_wireframe.h	157		ezwErrors ZwFeatureConcatenateCurveCreate(szwConcatenateCurveData data, szwEntityHandle *curveHandle)
ZwFeatureCopyCreate	zwapi_feature_shape.h	73		ezwErrors ZwFeatureCopyCreate(szwCopyData data, szwEntityHandle *handle)
ZwFeatureCopyDataInit	zwapi_feature_shape.h	70		ezwErrors ZwFeatureCopyDataInit(ezwCopyType copyType, szwCopyData *data)
ZwFeatureCopyWithMultiMatrix	zwapi_feature_general.h	20		ezwErrors ZwFeatureCopyWithMultiMatrix(int inputCount, const szwEntityHandle *inputEntityList, const szwMatrix *matrixList, int *outputCount, szwEntityHandle **outputEntityList)
ZwFeatureCurveEquationAdd	zwapi_feature_wireframe.h	124		ezwErrors ZwFeatureCurveEquationAdd(const zwString64 newEquationName, szw3DCurveEquationData newData)
ZwFeatureCurveEquationDataGetByName	zwapi_feature_wireframe.h	115		ezwErrors ZwFeatureCurveEquationDataGetByName(const char *equationName, szw3DCurveEquationData *data)
ZwFeatureCurveEquationDelete	zwapi_feature_wireframe.h	127		ezwErrors ZwFeatureCurveEquationDelete(const zwString64 equationName)
ZwFeatureCurveEquationNameListGet	zwapi_feature_wireframe.h	112		ezwErrors ZwFeatureCurveEquationNameListGet(int *count, zwString64 **equationList)
ZwFeatureCurveEquationRename	zwapi_feature_wireframe.h	121		ezwErrors ZwFeatureCurveEquationRename(const zwString64 oldEquationName, const zwString64 newEquationName)
ZwFeatureCurveEquationSet	zwapi_feature_wireframe.h	118		ezwErrors ZwFeatureCurveEquationSet(const zwString64 equationName, szw3DCurveEquationData newData)
ZwFeatureCurvelistCreate	zwapi_feature_wireframe.h	14		ezwErrors ZwFeatureCurvelistCreate(int countCurve, const szwEntityHandle *curveList, szwEntityHandle *curvelistEntity)
ZwFeatureCylinderCreate	zwapi_feature_shape.h	112		ezwErrors ZwFeatureCylinderCreate(szwCylinderData data, szwEntityHandle *shapeHandle)
ZwFeatureCylinderDataInit	zwapi_feature_shape.h	109		ezwErrors ZwFeatureCylinderDataInit(szwCylinderData *data)
ZwFeatureEquationCurveCreate	zwapi_feature_wireframe.h	96		ezwErrors ZwFeatureEquationCurveCreate(szwEquation3DCurveData data, szwEntityHandle *equationCurve)
ZwFeatureEquationCurveDataFree	zwapi_feature_wireframe.h	109		ezwErrors ZwFeatureEquationCurveDataFree(szwEquation3DCurveData *data)
ZwFeatureEquationCurveDataGet	zwapi_feature_wireframe.h	103		ezwErrors ZwFeatureEquationCurveDataGet(szwEntityHandle equationCurve, szwEquation3DCurveData *data)
ZwFeatureEquationCurveDataSet	zwapi_feature_wireframe.h	106		ezwErrors ZwFeatureEquationCurveDataSet(szwEntityHandle equationCurve, szwEquation3DCurveData data)
ZwFeatureExternalGeometryCopyCreate	zwapi_feature_data_exchange.h	20		ezwErrors ZwFeatureExternalGeometryCopyCreate(szwExternalGeometryCopyData data, szwEntityHandle *featureHandle)
ZwFeatureExternalGeometryCopyInit	zwapi_feature_data_exchange.h	13		ezwErrors ZwFeatureExternalGeometryCopyInit(ezwExternalGeometryCopyType copyType, szwExternalGeometryCopyData *data)
ZwFeatureExtrudeCreate	zwapi_feature_shape.h	20		ezwErrors ZwFeatureExtrudeCreate(szwExtrudeData extrude, szwEntityHandle *shapeHandle)
ZwFeatureExtrudeInit	zwapi_feature_shape.h	14		ezwErrors ZwFeatureExtrudeInit(szwExtrudeData *extrude)
ZwFeatureFaceOffset	zwapi_feature_freeform.h	14		ezwErrors ZwFeatureFaceOffset(szwEntityHandle faceHandle, double distance, int keep)
ZwFeatureFilletCreate	zwapi_feature_shape.h	97		ezwErrors ZwFeatureFilletCreate(szwFilletData data, szwEntityHandle *filletFeatureHandle)
ZwFeatureFilletDataFree	zwapi_feature_shape.h	94		ezwErrors ZwFeatureFilletDataFree(szwFilletData *data)
ZwFeatureFilletDataInit	zwapi_feature_shape.h	91		ezwErrors ZwFeatureFilletDataInit(ezwFilletType type, szwFilletData *data)
ZwFeatureFilletWeldCreate	zwapi_weldments.h	26		ezwErrors ZwFeatureFilletWeldCreate(szwFilletWeldData data, szwEntityHandle *feature)
ZwFeatureFilletWeldInit	zwapi_weldments.h	20		ezwErrors ZwFeatureFilletWeldInit(szwFilletWeldData *data)
ZwFeatureGlobalLineAttributeGet	zwapi_feature_wireframe.h	148		ezwErrors ZwFeatureGlobalLineAttributeGet(szwFeatureLineAttribute *attribute)
ZwFeatureGlobalLineAttributeSet	zwapi_feature_wireframe.h	145		ezwErrors ZwFeatureGlobalLineAttributeSet(szwFeatureLineAttribute attribute)
ZwFeatureGlobalPointAttributeGet	zwapi_feature_wireframe.h	136		ezwErrors ZwFeatureGlobalPointAttributeGet(szwFeaturePointAttribute *attribute)
ZwFeatureGlobalPointAttributeSet	zwapi_feature_wireframe.h	130		ezwErrors ZwFeatureGlobalPointAttributeSet(szwFeaturePointAttribute attribute)
ZwFeatureGrooveWeldCreate	zwapi_weldments.h	32		ezwErrors ZwFeatureGrooveWeldCreate(szwGrooveWeldData data, szwEntityHandle *feature)
ZwFeatureGrooveWeldDataInit	zwapi_weldments.h	29		ezwErrors ZwFeatureGrooveWeldDataInit(ezwWeldGrooveType type, szwGrooveWeldData *data)
ZwFeatureIntersectShapeCreate	zwapi_feature_shape.h	57		ezwErrors ZwFeatureIntersectShapeCreate(szwBoolData data)
ZwFeatureLineAttributeGet	zwapi_feature_wireframe.h	154		ezwErrors ZwFeatureLineAttributeGet(szwEntityHandle line, szwFeatureLineAttribute *attribute)
ZwFeatureLineAttributeSet	zwapi_feature_wireframe.h	151		ezwErrors ZwFeatureLineAttributeSet(int count, const szwEntityHandle *lineList, szwFeatureLineAttribute attribute)
ZwFeatureLineCreate	zwapi_feature_wireframe.h	30		ezwErrors ZwFeatureLineCreate(szwLineData data, szwEntityHandle *handle)
ZwFeatureLineCreateBy2Point	zwapi_feature_wireframe.h	33		ezwErrors ZwFeatureLineCreateBy2Point(szwPoint start, szwPoint end, szwEntityHandle *handle)
ZwFeatureLineDataInit	zwapi_feature_wireframe.h	23		ezwErrors ZwFeatureLineDataInit(szwLineData *data)
ZwFeatureListGet	zwapi_feature_general.h	23		ezwErrors ZwFeatureListGet(int *countFeature, szwEntityHandle **featureList)
ZwFeatureLoftCreate	zwapi_feature_shape.h	32		ezwErrors ZwFeatureLoftCreate(szwLoftData data, int *count, szwEntityHandle **handleList)
ZwFeatureLoftDataInit	zwapi_feature_shape.h	29		ezwErrors ZwFeatureLoftDataInit(szwLoftData *data)
ZwFeatureMoveCreate	zwapi_feature_general.h	45		ezwErrors ZwFeatureMoveCreate(szwMoveData data, szwEntityHandle *moveHandle)
ZwFeatureMoveCreateByPointToPoint	zwapi_feature_general.h	48		ezwErrors ZwFeatureMoveCreateByPointToPoint(int count, const szwEntityHandle *handleList, szwPoint startPoint, szwPoint endPoint, const szwVector *startDirection, const szwVector *endDirection)
ZwFeatureMoveCreateByTransform	zwapi_feature_general.h	51		ezwErrors ZwFeatureMoveCreateByTransform(int count, const szwEntityHandle *handleList, szwMatrix matrix)
ZwFeatureMoveDataInit	zwapi_feature_general.h	38		ezwErrors ZwFeatureMoveDataInit(szwMoveData *data)
ZwFeaturePatternParameterTableRefresh	zwapi_feature_general.h	54		ezwErrors ZwFeaturePatternParameterTableRefresh(szwEntityHandle patternFeature)
ZwFeaturePointAttributeGet	zwapi_feature_wireframe.h	142		ezwErrors ZwFeaturePointAttributeGet(szwEntityHandle point, szwFeaturePointAttribute *attribute)
ZwFeaturePointAttributeSet	zwapi_feature_wireframe.h	139		ezwErrors ZwFeaturePointAttributeSet(int count, const szwEntityHandle *pointList, szwFeaturePointAttribute attribute)
ZwFeaturePointCloudFitFaceCreate	zwapi_point_cloud.h	21		ezwErrors ZwFeaturePointCloudFitFaceCreate(szwPointCloudFitFaceData data, szwEntityHandle *feature)
ZwFeaturePointsCreateByAbsolute	zwapi_feature_wireframe.h	36		ezwErrors ZwFeaturePointsCreateByAbsolute(int count, const szwPoint *points, szwEntityHandle **handleList)
ZwFeatureRectangleCreate	zwapi_feature_wireframe.h	42		ezwErrors ZwFeatureRectangleCreate(szwRectangleData rectangleData, int *count, szwEntityHandle **rectangle)
ZwFeatureRectangleDataInit	zwapi_feature_wireframe.h	39		ezwErrors ZwFeatureRectangleDataInit(szwRectangleData *data)
ZwFeatureRemoveShapeCreate	zwapi_feature_shape.h	54		ezwErrors ZwFeatureRemoveShapeCreate(szwBoolData data)
ZwFeatureRevolveCreate	zwapi_feature_shape.h	88		ezwErrors ZwFeatureRevolveCreate(szwRevolveData data, szwEntityHandle *shapeHandle)
ZwFeatureRevolveDataInit	zwapi_feature_shape.h	85		ezwErrors ZwFeatureRevolveDataInit(szwRevolveData *data)
ZwFeatureSilhouetteCurves	zwapi_feature_wireframe.h	19		ezwErrors ZwFeatureSilhouetteCurves(szwSilhouetteCurvesData data, int *count, szwEntityHandle **curves)
ZwFeatureSphereCreate	zwapi_feature_shape.h	67		ezwErrors ZwFeatureSphereCreate(szwSphereData data, int *count, szwEntityHandle **handleList)
ZwFeatureSphereDataInit	zwapi_feature_shape.h	60		ezwErrors ZwFeatureSphereDataInit(szwSphereData *data)
ZwFeatureSpiralHelixCreate	zwapi_feature_wireframe.h	51		ezwErrors ZwFeatureSpiralHelixCreate(szwSpiralHelix data, szwEntityHandle *spiral)
ZwFeatureSpiralHelixCreateInit	zwapi_feature_wireframe.h	45		ezwErrors ZwFeatureSpiralHelixCreateInit(szwSpiralHelix *data)
ZwFeatureSpiralHelixFree	zwapi_feature_wireframe.h	54		ezwErrors ZwFeatureSpiralHelixFree(szwSpiralHelix *data)
ZwFeatureSplitWithFace	zwapi_feature_freeform.h	23		ezwErrors ZwFeatureSplitWithFace(szwSplitWithFacesData data, int *count, szwEntityHandle **handle)
ZwFeatureSplitWithFaceDataInit	zwapi_feature_freeform.h	20		ezwErrors ZwFeatureSplitWithFaceDataInit(szwSplitWithFacesData *data)
ZwFeatureStockCreate	zwapi_feature_shape.h	82		ezwErrors ZwFeatureStockCreate(szwStockData data, szwEntityHandle *handle)
ZwFeatureStockDataInit	zwapi_feature_shape.h	76		ezwErrors ZwFeatureStockDataInit(szwStockData *data)
ZwFeatureSweptRodCreate	zwapi_feature_shape.h	38		ezwErrors ZwFeatureSweptRodCreate(szwSweptRodData data, int *count, szwEntityHandle **newShapes)
ZwFeatureSweptRodInit	zwapi_feature_shape.h	35		ezwErrors ZwFeatureSweptRodInit(szwSweptRodData *data)
ZwFeatureTangentContinuityCreate	zwapi_point_cloud.h	14		ezwErrors ZwFeatureTangentContinuityCreate(szwTangentContinuityData data, szwEntityHandle *feature)
ZwFeatureTextBalloonCreate	zwapi_pmi.h	107		ezwErrors ZwFeatureTextBalloonCreate(szwPoint textPoint, const char *text, int imageFlag, szwEntityHandle *dimension)
ZwFeatureTextBalloonListGet	zwapi_pmi.h	131		ezwErrors ZwFeatureTextBalloonListGet(int *countTextBalloon, szwEntityHandle **textBalloonList)
ZwFeatureTextCreate	zwapi_pmi.h	116		ezwErrors ZwFeatureTextCreate(szwPMIText data, szwEntityHandle *text)
